claim,fact-check agency,time,orginated,label,poynter_url
"A set of self proclaimed doctors have written a letter asking unmarried women, and diabetics to avoid taking the vaccine",BOOM FactCheck,2021/03/09 ,India,Misleading,https://www.poynter.org/?ifcn_misinformation=a-set-of-self-proclaimed-doctors-have-written-a-letter-asking-unmarried-women-and-diabetics-to-avoid-taking-the-vaccine
"Tal Zaks, a scientist working at Moderna stated that their mRNA vaccine hacks lifes’ operating system thus changing the human DNA. Also, a study done by Sloan Kettering Cancer Center proved that mRNA vaccines cause cancer.",Ellinika Hoaxes,2021/03/09 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=tal-zaks-a-scientist-working-at-moderna-stated-that-their-mrna-vaccine-hacks-lifes-operating-system-thus-changing-the-human-dna-also-a-study-done-by-sloan-kettering-cancer-center-proved-that-mrna
“Auschwitz” for “utilization of vaccinated” was built in Ukraine,StopFake.org,2021/03/09 ,Ukraine,FALSE,https://www.poynter.org/?ifcn_misinformation=auschwitz-for-utilization-of-vaccinated-was-built-in-ukraine
"Vaccination will be compulsory, whoever refuses will be fined",Myth Detector,2021/03/09 ,Georgia,FALSE,https://www.poynter.org/?ifcn_misinformation=vaccination-will-be-compulsory-whoever-refuses-will-be-fined
Covid-19 vaccination certificate that contained a warning that the shots will prolong erections and increase penis size.,AFP,2021/03/08 ,Singapore,FALSE,https://www.poynter.org/?ifcn_misinformation=covid-19-vaccination-certificate-that-contained-a-warning-that-the-shots-will-prolong-erections-and-increase-penis-size
A resolution from Council of Europe forbidding vaccine obligation,AFP,2021/03/08 ,"France, Europe",FALSE,https://www.poynter.org/?ifcn_misinformation=a-resolution-from-council-of-europe-forbidding-vaccine-obligation
WHO director in Europe said that the end of the pandemic “is in sight” and without the need for vaccines,Animal Político,2021/03/08 ,Mexico,FALSE,https://www.poynter.org/?ifcn_misinformation=who-director-in-europe-said-that-the-end-of-the-pandemic-is-in-sight-and-without-the-need-for-vaccines
In United States of America court ruled that common vaccines programs are cancelled.,Demagog,2021/03/08 ,Poland,FALSE,https://www.poynter.org/?ifcn_misinformation=in-united-states-of-america-court-ruled-that-common-vaccines-programs-are-cancelled
CNN live bulletin claims that hospitals are on lockdown as first vaccinated COVID-19 patients have started eating other patients.,Dubawa,2021/03/08 ,Ghana,FALSE,https://www.poynter.org/?ifcn_misinformation=cnn-live-bulletin-claims-that-hospitals-are-on-lockdown-as-first-vaccinated-covid-19-patients-have-started-eating-other-patients
The director of the WHO in Europe has announced that the pandemic will end in a few months without the need for vaccination.,Newtral.es,2021/03/08 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=the-director-of-the-who-in-europe-has-announced-that-the-pandemic-will-end-in-a-few-months-without-the-need-for-vaccination
The hydrogel nano-robots in vaccines are created based on the image of Satan,FactCheck Georgia,2021/03/08 ,Georgia,FALSE,https://www.poynter.org/?ifcn_misinformation=the-hydrogel-nano-robots-in-vaccines-are-created-based-on-the-image-of-satan
Kenyan women were massively sterilized by Indian vaccine – now it’s Ukraine’s turn,StopFake.org,2021/03/08 ,"Ukraine, Kenya",FALSE,https://www.poynter.org/?ifcn_misinformation=kenyan-women-were-massively-sterilized-by-indian-vaccine-now-its-ukraines-turn
A new UK report has proved a causal link between deaths and the AstraZeneca vaccine.,Ellinika Hoaxes,2021/03/08 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=a-new-uk-report-has-proved-a-causal-link-between-deaths-and-the-astrazeneca-vaccine
"The government promised that Colombia will receive 850,000 vaccines by February",La Silla Vacía,2021/03/08 ,Colombia,FALSE,https://www.poynter.org/?ifcn_misinformation=the-government-promised-that-colombia-will-receive-850000-vaccines-by-february
Having meal and drinking 250 cc warm water before getting vaccine can prevent adverse reactions.,Taiwan FactCheck Center,2021/03/08 ,Taiwan,FALSE,https://www.poynter.org/?ifcn_misinformation=having-meal-and-drinking-250-cc-warm-water-before-getting-vaccine-can-prevent-adverse-reactions
