claim,fact-check agency,time,orginated,label,poynter_url
"Sherri Tenpenny, an American physician named among the biggest “profiteers” from anti-vaccination misinformation, appears on a YouTube channel sharing claims about coronavirus shots.",AFP,2021/06/11 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=sherri-tenpenny-an-american-physician-named-among-the-biggest-profiteers-from-anti-vaccination-misinformation-appears-on-a-youtube-channel-sharing-claims-about-coronavirus-shots
Videos show Bluetooth being able to discover vaccinated individuals.,Myth Detector,2021/06/11 ,Georgia,FALSE,https://www.poynter.org/?ifcn_misinformation=videos-show-bluetooth-being-able-to-discover-vaccinated-individuals
86% of children who participated in Pfizer vaccine research experienced severe side effects.,Myth Detector,2021/06/11 ,Georgia,FALSE,https://www.poynter.org/?ifcn_misinformation=86-of-children-who-participated-in-pfizer-vaccine-research-experienced-severe-side-effects
Vaccinated people death more often than unvaccinated.,Demagog,2021/06/11 ,Poland,FAŁSZ,https://www.poynter.org/?ifcn_misinformation=vaccinated-people-death-more-often-than-unvaccinated
The spike protein that “is contained in vaccines” is toxic and can accumulate in human tissues.,StopFake.org,2021/06/11 ,Ukraine,Fake,https://www.poynter.org/?ifcn_misinformation=the-spike-protein-that-is-contained-in-vaccines-is-toxic-and-can-accumulate-in-human-tissues
86% of children in the Pfizer trial suffered from side effects of the vaccine.,VoxCheck,2021/06/11 ,Ukraine,MISLEADING,https://www.poynter.org/?ifcn_misinformation=86-of-children-in-the-pfizer-trial-suffered-from-side-effects-of-the-vaccine
"The first dose of the vaccine is free and makes people addicted. Hence, people will be induced to buy the second dose.",VoxCheck,2021/06/11 ,Ukraine,FALSE,https://www.poynter.org/?ifcn_misinformation=the-first-dose-of-the-vaccine-is-free-and-makes-people-addicted-hence-people-will-be-induced-to-buy-the-second-dose
Video shows a chip hidden in the “tip of the needle” with which a person is vaccinated.,Animal Político,2021/06/11 ,Mexico,Misleading,https://www.poynter.org/?ifcn_misinformation=video-shows-a-chip-hidden-in-the-tip-of-the-needle-with-which-a-person-is-vaccinated
BioNTech CEO Uğur Şahin has not been vaccinated.,Doğruluk Payı,2021/06/11 ,"Turkey, Germany",FALSE,https://www.poynter.org/?ifcn_misinformation=biontech-ceo-ugur-sahin-has-not-been-vaccinated
Covid-19 vaccines can damage internal organs.,Doğruluk Payı,2021/06/11 ,Turkey,FALSE,https://www.poynter.org/?ifcn_misinformation=covid-19-vaccines-can-damage-internal-organs
Study shows that vaccinated by Pfizer had nanoparticles in their bodies.,Aos Fatos,2021/06/11 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=study-shows-that-vaccinated-by-pfizer-had-nanoparticles-in-their-bodies
Japanese scientists found out that mRNA vaccines leave RNA particles all over the body and that can cause infertility,Estadão Verifica,2021/06/11 ,"Brazil, Japan",FALSO,https://www.poynter.org/?ifcn_misinformation=japanese-scientists-found-out-that-mrna-vaccines-leave-rna-particles-all-over-the-body-and-that-can-cause-infertility
Anthony Fauci said that COVID-19 vaccines are the problem and not the solution to the pandemic.,Colombiacheck,2021/06/11 ,Colombia,FALSE,https://www.poynter.org/?ifcn_misinformation=anthony-fauci-said-that-covid-19-vaccines-are-the-problem-and-not-the-solution-to-the-pandemic
Covid-19 clinic in Toronto lured children to accept a vaccination without parental consent by offering ice cream while police ensured guardians remained outside.,AFP,2021/06/10 ,Canada,FALSE,https://www.poynter.org/?ifcn_misinformation=covid-19-clinic-in-toronto-lured-children-to-accept-a-vaccination-without-parental-consent-by-offering-ice-cream-while-police-ensured-guardians-remained-outside
Video shows a magnet sticking to a vial of a COVID-19 vaccine.,Maldita.es,2021/06/10 ,Spain,FALSO,https://www.poynter.org/?ifcn_misinformation=video-shows-a-magnet-sticking-to-a-vial-of-a-covid-19-vaccine
