claim,fact-check agency,time,orginated,label,poynter_url
"Doctors and nurses are being forced to quite over the vaccine mandates, but FEMA workers are “exempt” from mandates.",FactCheck.org,2021/10/20 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=doctors-and-nurses-are-being-forced-to-quite-over-the-vaccine-mandates-but-fema-workers-are-exempt-from-mandates-2
Delta Air Lines pilot died on the flight a few days after receiving a second dose of the coronavirus vaccine. The fully vaccinated pilot had a stroke while flying and crashed in San Diego.,Myth Detector,2021/10/20 ,"Georgia, United States",FALSE,https://www.poynter.org/?ifcn_misinformation=delta-air-lines-pilot-died-on-the-flight-a-few-days-after-receiving-a-second-dose-of-the-coronavirus-vaccine-the-fully-vaccinated-pilot-had-a-stroke-while-flying-and-crashed-in-san-diego
Mass cases of cancer have been reported among those vaccinated against the COVID-19.,StopFake.org,2021/10/19 ,Ukraine,FALSE,https://www.poynter.org/?ifcn_misinformation=mass-cases-of-cancer-have-been-reported-among-those-vaccinated-against-the-covid-19
"In the United Kingdom, “70-plus percent of the people who die now from the COVID-19 are fully vaccinated.”",PolitiFact,2021/10/19 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=in-the-united-kingdom-70-plus-percent-of-the-people-who-die-now-from-the-covid-19-are-fully-vaccinated
Vaccination caused the number of deaths by Covid-19 in Brazil in 2021 to exceed the registered in 2020.,Aos Fatos,2021/10/19 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=vaccination-caused-the-number-of-deaths-by-covid-19-in-brazil-in-2021-to-exceed-the-registered-in-2020
Several statements that appear next to a comparative table between vaccinated and unvaccinated are false.,Chequeado,2021/10/19 ,Argentina,FALSE,https://www.poynter.org/?ifcn_misinformation=several-statements-that-appear-next-to-a-comparative-table-between-vaccinated-and-unvaccinated-are-false
The Pfizer-BioNTech vaccine against COVID-19 was created before the advent of the SARS-CoV-2 virus.,VoxCheck,2021/10/19 ,Ukraine,FALSE,https://www.poynter.org/?ifcn_misinformation=the-pfizer-biontech-vaccine-against-covid-19-was-created-before-the-advent-of-the-sars-cov-2-virus
The video shows a man destroying a “vaccine passport machine” at an airport.,AFP,2021/10/19 ,"Hong Kong, South Korea",FALSE,https://www.poynter.org/?ifcn_misinformation=the-video-shows-a-man-destroying-a-vaccine-passport-machine-at-an-airport
Colin Powell’s death from complications caused by Covid-19 means vaccines against the disease is ineffective.,AFP,2021/10/19 ,United States,MISLEADING,https://www.poynter.org/?ifcn_misinformation=colin-powells-death-from-complications-caused-by-covid-19-means-vaccines-against-the-disease-is-ineffective
The video shows the protesters are celebrating Italy abolishing mandatory vaccination and green passports starting October 31.,Myth Detector,2021/10/19 ,"Georgia, Italy",FALSE,https://www.poynter.org/?ifcn_misinformation=the-video-shows-the-protesters-are-celebrating-italy-abolishing-mandatory-vaccination-and-green-passports-starting-october-31
Pfizer scientists admit that getting COVID-19 gives you a stronger immunity than the vaccine.,Agência Lupa,2021/10/19 ,Brazil,NO EVIDENCE,https://www.poynter.org/?ifcn_misinformation=pfizer-scientists-admit-that-getting-covid-19-gives-you-a-stronger-immunity-than-the-vaccine
The video has been posted on a Facebook post claiming that vaccines against the Covid-19 have caused mutations in newborn babies.,Vistinomer,2021/10/19 ,North Macedonia,FALSE,https://www.poynter.org/?ifcn_misinformation=the-video-has-been-posted-on-a-facebook-post-claiming-that-vaccines-against-the-covid-19-have-caused-mutations-in-newborn-babies
Austrian MP fainting while delivering her speech because of the COVID-19 vaccine.,Myth Detector,2021/10/19 ,"Georgia, Austria",NO EVIDENCE,https://www.poynter.org/?ifcn_misinformation=austrian-mp-fainting-while-delivering-her-speech-because-of-the-covid-19-vaccine
"Covid is a scam. Refuse vaccines. Fight for your freedom. You have Satanists in the Assembly. Paid to kill you. With vaccines. Take care of your children, the post says. It is also claimed that part of Pfizer’s profits is distributed to politicians in Macedonia.",Vistinomer,2021/10/19 ,North Macedonia,FALSE,https://www.poynter.org/?ifcn_misinformation=covid-is-a-scam-refuse-vaccines-fight-for-your-freedom-you-have-satanists-in-the-assembly-paid-to-kill-you-with-vaccines-take-care-of-your-children-the-post-says-it-is-also-claimed-that-part-o
US Supreme Court ruled Covid-19 vaccinates are not human.,Aos Fatos,2021/10/18 ,"Brazil, United States",FALSE,https://www.poynter.org/?ifcn_misinformation=us-supreme-court-ruled-covid-19-vaccinates-are-not-human
