claim,fact-check agency,time,orginated,label,poynter_url
"A photo circulating widely on social networks shows a bottle labeled Oxford vaccine (AstraZeneca) in March 2020, and has been used to suggest that the pandemic was planned.",Colombiacheck,2021/02/17 ,Colombia,FALSE,https://www.poynter.org/?ifcn_misinformation=a-photo-circulating-widely-on-social-networks-shows-a-bottle-labeled-oxford-vaccine-astrazeneca-in-march-2020-and-has-been-used-to-suggest-that-the-pandemic-was-planned
"Through his research paper, Dr Steven Quay, proved that the there is a 99.8% chance that SARS-CoV-2 was actually a virus that escaped from a lab.",Ellinika Hoaxes,2021/02/03 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=through-his-research-paper-dr-steven-quay-proved-that-the-there-is-a-99-8-chance-that-sars-cov-2-was-actually-a-virus-that-escaped-from-a-lab
"AstraZeneca vaccine contains pieces of laboratory monkeys, rats and clots of aborted baby.",Istinomer,2021/01/30 ,Serbia,FALSE,https://www.poynter.org/?ifcn_misinformation=astrazeneca-vaccine-contains-pieces-of-laboratory-monkeys-rats-and-clots-of-aborted-baby
"The World Health Organization admitted that PCR tests are resulting in widespread false positives for the virus that causes Covid-19, and asked laboratories to change the way they are conducted.",AFP,2021/01/29 ,France,Misleading,https://www.poynter.org/?ifcn_misinformation=the-world-health-organization-admitted-that-pcr-tests-are-resulting-in-widespread-false-positives-for-the-virus-that-causes-covid-19-and-asked-laboratories-to-change-the-way-they-are-conducted
"The UN publishes the list of countries that have purchased COVID vaccines from the different laboratories when, when and from whom they bought, MEXICO is not on that list",Animal Político,2021/01/25 ,Mexico,FALSE,https://www.poynter.org/?ifcn_misinformation=the-un-publishes-the-list-of-countries-that-have-purchased-covid-vaccines-from-the-different-laboratories-when-when-and-from-whom-they-bought-mexico-is-not-on-that-list
"The World Health Organization released guidance to laboratories to reduce the cycle count in PCR tests, as the current cycle counts are too high and result in false-positives.",Science Feedback,2021/01/22 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=the-world-health-organization-released-guidance-to-laboratories-to-reduce-the-cycle-count-in-pcr-tests-as-the-current-cycle-counts-are-too-high-and-result-in-false-positives
A Cornell University professor said seven university labs are suing US health authorities for fraud after determining that Covid-19 does not exist.,AFP,2021/01/21 ,Canada,FALSE,https://www.poynter.org/?ifcn_misinformation=a-cornell-university-professor-said-seven-university-labs-are-suing-us-health-authorities-for-fraud-after-determining-that-covid-19-does-not-exist
Rob Oswald,VoxCheck,2021/01/19 ,"Ukraine, United States",FALSE,https://www.poynter.org/?ifcn_misinformation=rob-oswald-labs-of-major-u-s-universities-are-filing-a-lawsuit-against-cdc
Please note the differences,Vishvas News,2021/01/13 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=please-note-the-differences-1-dry-cough-sneeze-air-pollution-2-cough-mucus-sneeze-runny-nose-common-cold-3-cough-mucus-sneeze-runny-nose-body-ache-weakness-light-fever-2
"The world population will decline to one billion as part of the plan to establish the world government. Vaccine will decompose the human internal body system within several months after injection and cause mass mortality worldwide. A real and safe coronavirus vaccine will become available only after the depopulation plan is implemented. Coronavirus mutations will be blamed for increased mortality caused by a lethal vaccine. To back up this claim, the video offers a brief fragment from the interviews with Bill Gates.",Myth Detector,2021/01/13 ,Georgia,FALSE,https://www.poynter.org/?ifcn_misinformation=the-world-population-will-decline-to-one-billion-as-part-of-the-plan-to-establish-the-world-government-vaccine-will-decompose-the-human-internal-body-system-within-several-months-after-injection-and
Ivermectin “is a safe and widely available treatment for coronavirus”; it would “work like a vaccine”,Science Feedback,2021/01/11 ,United States,No evidence,https://www.poynter.org/?ifcn_misinformation=ivermectin-is-a-safe-and-widely-available-treatment-for-coronavirus-it-would-work-like-a-vaccine
"French lab’s research shows that COVID-19 is very resilient. 90°C water can’t kill it, nor the nanoneedle; the virus bounced back immediately once the needle was removed.",Taiwan FactCheck Center,2021/01/07 ,Taiwan,FALSE,https://www.poynter.org/?ifcn_misinformation=french-labs-research-shows-that-covid-19-is-very-resilient-90c-water-cant-kill-it-nor-the-nanoneedle-the-virus-bounced-back-immediately-once-the-needle-was-removed
"A chain that links the Wuhan Virology Laboratory (China) with the pharmaceutical company GlaxoSmithKline; and it also names it as the owner of another competing firm, Pfizer.",Chequeado,2020/12/29 ,Argentina,FALSE,https://www.poynter.org/?ifcn_misinformation=a-chain-that-links-the-wuhan-virology-laboratory-china-with-the-pharmaceutical-company-glaxosmithkline-and-it-also-names-it-as-the-owner-of-another-competing-firm-pfizer
COVID-19 and AIDS are biological weapons created in the same military biological labs and both viruses were made intentionally to destroy the population and the army of an adversary. The Pentagon was collecting biological samples from Russians as well as different ethnic groups and people of the former Soviet Union living in different geographical locations of the Russian Federation.,Myth Detector,2020/12/24 ,Georgia,FALSE,https://www.poynter.org/?ifcn_misinformation=covid-19-and-aids-are-biological-weapons-created-in-the-same-military-biological-labs-and-both-viruses-were-made-intentionally-to-destroy-the-population-and-the-army-of-an-adversary-the-pentagon-was
"Those links between Wuhan lab and pharma, bill gates show there is a conspiracy",AFP,2020/12/24 ,France,FALSE,https://www.poynter.org/?ifcn_misinformation=those-links-between-wuhan-lab-and-pharma-bill-gates-show-there-is-a-conspiracy
