claim,fact-check agency,time,orginated,label,poynter_url
A scientific paper published in Nature in 2015 shows that the new virus was developed in labs.,Factnameh,2020/03/13 ,Iran,False,https://www.poynter.org/?ifcn_misinformation=a-scientific-paper-published-in-nature-in-2015-shows-that-the-new-virus-was-developed-in-labs
"Claim that COVID-19 has been around for a long time, with a photo of an animal vaccine labeled “coronavirus.”",AFP,2020/03/13 ,"Canada, France",False,https://www.poynter.org/?ifcn_misinformation=claim-that-covid-19-has-been-around-for-a-long-time-with-a-photo-of-an-animal-vaccine-labeled-coronavirus-2
A former and controversial CIA officer said coronavirus was made in a lab.,LeadStories,2020/03/12 ,United States,False,https://www.poynter.org/?ifcn_misinformation=a-former-and-controversial-cia-officer-said-coronavirus-was-made-in-a-lab-2
The coronavirus was created in the laboratory and is a biological weapon.,Décrypteurs - Radio-Canada,2020/03/11 ,Canada,False,https://www.poynter.org/?ifcn_misinformation=the-coronavirus-was-created-in-the-laboratory-and-is-a-biological-weapon
Iran’s former president Mahmoud Ahmadinejad,Factnameh,2020/03/09 ,Iran,False,https://www.poynter.org/?ifcn_misinformation=irans-former-president-mahmoud-ahmadinejad-it-is-clear-to-the-world-that-the-mutated-coronavirus-was-produced-in-a-lab-manufactured-by-the-warfare-stock-houses-of-biological-war-belonging-to-world
This laboratory is giving money to people who would agree to be infected with the novel coronavirus.,Les Décodeurs,2020/03/09 ,France,False,https://www.poynter.org/?ifcn_misinformation=this-laboratory-is-giving-money-to-people-who-would-agree-to-be-infected-with-the-novel-coronavirus
Availability of a kit for coronavirus self-diagnosis in Italy.,Effecinque,2020/03/09 ,Italy,Misleading,https://www.poynter.org/?ifcn_misinformation=availability-of-a-kit-for-coronavirus-self-diagnosis-in-italy-2
A kit for coronavirus self-diagnosis is available.,Effecinque,2020/03/09 ,Italy,Misleading,https://www.poynter.org/?ifcn_misinformation=a-kit-for-coronavirus-self-diagnosis-is-available
Availability of a kit for coronavirus self-diagnosis.,Effecinque - SkyTg24,2020/03/09 ,Italy,Misleading,https://www.poynter.org/?ifcn_misinformation=availability-of-a-kit-for-coronavirus-self-diagnosis-in-italy
Availability of a kit for coronavirus self-diagnosis.,Effecinque - SkyTg24,2020/03/09 ,Italy,Misleading,https://www.poynter.org/?ifcn_misinformation=availability-of-a-kit-for-coronavirus-self-diagnosis
"It is a designed virus ordered to laboratories by Christine Lagarde when she was in the IMF. She said that “old people live too long and this is a risk for the global economy. We must do something, urgently.”",Maldita.es,2020/03/06 ,Spain,False,https://www.poynter.org/?ifcn_misinformation=it-is-a-designed-virus-ordered-to-laboratories-by-christine-lagarde-when-she-was-in-the-imf-she-said-that-old-people-live-too-long-and-this-is-a-risk-for-the-global-economy-we-must-do-something-ur
Patents mean deadly diseases and viruses were created or invented in a lab.,LeadStories,2020/03/03 ,United States,False,https://www.poynter.org/?ifcn_misinformation=patents-mean-deadly-diseases-and-viruses-were-created-or-invented-in-a-lab
This virus must be old because the label on a bottle of disinfectant from 2015 shows “coronavirus“.,Correctiv,2020/02/29 ,Germany,False,https://www.poynter.org/?ifcn_misinformation=this-virus-must-be-old-because-the-label-on-a-bottle-of-disinfectant-from-2015-shows-coronavirus
"Evidence indicates COVID-19 escaped a Chinese lab that was researching it, causing the outbreak.",Science Feedback,2020/02/25 ,United States,False,https://www.poynter.org/?ifcn_misinformation=evidence-indicates-covid-19-escaped-a-chinese-lab-that-was-researching-it-causing-the-outbreak-2
Coronavirus is a bioweapon leaked from a Wuhan lab.,LeadStories,2020/02/25 ,United States,False,https://www.poynter.org/?ifcn_misinformation=coronavirus-is-a-bioweapon-leaked-from-a-wuhan-lab
