claim,fact-check agency,time,orginated,label,poynter_url
DailyMail reported that a virus leaked from the Wuhan National Biosafety Laboratory was responsible for the pandemic.,INFACT,2020/01/25 ,Japan,Misleading,https://www.poynter.org/?ifcn_misinformation=dailymail-reported-that-a-virus-leaked-from-the-wuhan-national-biosafety-laboratory-was-responsible-for-the-pandemic
A CBC news report would said that Chinese scientists from a Canadian lab sent the coronavirus to Wuhan.,Détecteur de rumeurs,2020/01/25 ,Canada,False,https://www.poynter.org/?ifcn_misinformation=a-cbc-news-report-would-said-that-chinese-scientists-from-a-canadian-lab-sent-the-coronavirus-to-wuhan
“So let me get this straight about this virus. It’s ‘new’ yet it was lab created and patented in 2015 (in development since 03’).”,FactCheck.org,2020/01/24 ,United States,(Org. doesn't apply rating),https://www.poynter.org/?ifcn_misinformation=so-let-me-get-this-straight-about-this-virus-its-new-yet-it-was-lab-created-and-patented-in-2015-in-development-since-03-2
"There’s a ‘coronavirus patent’, FEMA ‘proposes martial law’, Gates Foundation predicted virus, ‘funded group who owns virus patent’, coronavirus was ‘created in a lab’ as a ‘bioweapon for population control’.",PolitiFact,2020/01/24 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=theres-a-coronavirus-patent-fema-proposes-martial-law-gates-foundation-predicted-virus-funded-group-who-owns-virus-patent-coronavirus
A 2015 research article about a lab-made coronavirus referred to the current outbreak.,LeadStories,2020/01/24 ,United States,Misleading,https://www.poynter.org/?ifcn_misinformation=a-2015-research-article-about-a-lab-made-coronavirus-referred-to-the-current-outbreak
“So let me get this straight about this virus. It’s “new” yet it was lab created and patented in 2015 (in development since 03’).”,FactCheck.org,2020/01/24 ,United States,(Org. doesn't apply rating),https://www.poynter.org/?ifcn_misinformation=the-new-fad-disease-called-the-coronavirus-is-sweeping-headlines-funny-enough-there-was-a-patent-for-the-coronavirus-was-filed-in-2015-and-granted-in-2018
“So let me get this straight about this virus. It’s “new” yet it was lab created and patented in 2015 (in development since 03’).,FactCheck.org,2020/01/24 ,United States,(Org. doesn't apply rating),https://www.poynter.org/?ifcn_misinformation=so-let-me-get-this-straight-about-this-virus-its-new-yet-it-was-lab-created-and-patented-in-2015-in-development-since-03
“[The coronavirus is] ‘new’ yet it was lab-created and patented in 2015”.,Science Feedback,2020/01/23 ,United States,Misleading,https://www.poynter.org/?ifcn_misinformation=the-coronavirus-is-new-yet-it-was-lab-created-and-patented-in-2015-2
Coronavirus was created in a lab in order to destroy the Chinese economy. The vaccine is already available.,Raskrinkavanje,2020/01/23 ,"Bosnia and Herzegovina, Serbia",False,https://www.poynter.org/?ifcn_misinformation=coronavirus-was-created-in-the-lab-in-order-to-destroy-the-chinese-economy-the-vaccine-is-already-available-2
“[The coronavirus is] ‘new’ yet it was lab-created and patented in 2015”.,Science Feedback,2020/01/23 ,United States,Misleading,https://www.poynter.org/?ifcn_misinformation=the-coronavirus-is-new-yet-it-was-lab-created-and-patented-in-2015
“There’s magically already a vaccine available.”,LeadStories,2020/01/22 ,United States,False,https://www.poynter.org/?ifcn_misinformation=theres-magically-already-a-vaccine-available-2
“There’s magically already a vaccine available.”,LeadStories,2020/01/22 ,United States,Not true,https://www.poynter.org/?ifcn_misinformation=patent-on-this-new-coronavirus-expired-on-the-22nd-today
“There’s magically already a vaccine available.”,LeadStories,2020/01/22 ,United States,Not true,https://www.poynter.org/?ifcn_misinformation=theres-magically-already-a-vaccine-available
The coronavirus was created in a lab and patented.,AFP,2020/01/21 ,"France, United States",False,https://www.poynter.org/?ifcn_misinformation=the-coronavirus-was-created-in-a-lab-and-patented
