claim,fact-check agency,time,orginated,label,poynter_url
A report reinforces theories about 5G and microchips,Bolivia Verifica,2020/07/05 ,Bolivia,MISLEADING,https://www.poynter.org/?ifcn_misinformation=a-report-reinforces-theories-about-5g-and-microchips
5G base stations were created in Izmir during the new coronavirus epidemic period,Teyit,2020/07/02 ,Turkey,FALSE,https://www.poynter.org/?ifcn_misinformation=5g-base-stations-were-created-in-izmir-during-the-new-coronavirus-epidemic-period
Antiradiation suits are needed to install 5G cellphone towers.,La Silla Vacía,2020/06/25 ,Colombia,FALSE,https://www.poynter.org/?ifcn_misinformation=antiradiation-suits-are-needed-to-install-5g-cellphone-towers
"5G antennas are being installed in Popayán, Columbia.",Colombiacheck,2020/06/18 ,Colombia,FALSE,https://www.poynter.org/?ifcn_misinformation=5g-antennas-are-being-installed-in-popayan-columbia
The coronavirus is an amplified bacteria related to 5g.,La Silla Vacía,2020/06/17 ,Colombia,FALSE,https://www.poynter.org/?ifcn_misinformation=the-coronavirus-is-an-amplified-bacteria-related-to-5g
The EU has confirmed that 5G networks are harmful to people’s health.,EFE Verifica,2020/06/17 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=the-eu-has-confirmed-that-5g-networks-are-harmful-to-peoples-health
"COVID-19 is disseminated intravascular coagulation, or pulmonary thrombosis, and ventilators and intensive care units (ICUs) were “never needed” in treating the disease because it can be fought with “antibiotics, anti-inflammatories and anticoagulants.” The disease is also caused by a bacteria that gets amplified by 5G technology.",VERA Files,2020/06/14 ,Philippines,FALSE,https://www.poynter.org/?ifcn_misinformation=covid-19-is-disseminated-intravascular-coagulation-or-pulmonary-thrombosis-and-ventilators-and-intensive-care-units-icus-were-never-needed-in-treating-the-disease-because-it-can
"Vaccines, chips, and 5G are interconnected and needed to establish control over people",VoxCheck,2020/06/12 ,Ukraine,No evidence,https://www.poynter.org/?ifcn_misinformation=vaccines-chips-and-5g-are-interconnected-and-needed-to-establish-control-over-people
"Last year, in China, a vaccine was compulsory and that vaccine supposedly hosts a digitized virus, is the one that causes COVID-19 and can be activated through 5G antennas.",Chequeado,2020/06/12 ,"Argentina, Spain, Mexico, Colombia",FALSE,https://www.poynter.org/?ifcn_misinformation=last-year-in-china-a-vaccine-was-compulsory-and-that-vaccine-supposedly-hosts-a-digitized-virus-is-the-one-that-causes-covid-19-and-can-be-activated-through-5g-antennas
"Singer Miguel Bosé’s tweets involving Bill Gates, vaccines and 5G.",Chequeado,2020/06/10 ,"Argentina, Spain",FALSE,https://www.poynter.org/?ifcn_misinformation=singer-miguel-boses-tweets-involving-bill-gates-vaccines-and-5g-2
Coronavirus is actually an expanded exosome caused by 5G.,Animal Político,2020/06/06 ,Mexico,FALSE,https://www.poynter.org/?ifcn_misinformation=coronavirus-is-actually-an-expanded-exosome-caused-by-5g
A man says that coronavirus was created to keep people inside homes and install 5G antennas.,La Silla Vacía,2020/06/05 ,Colombia,FALSE,https://www.poynter.org/?ifcn_misinformation=a-man-says-that-coronavirus-was-created-to-keep-people-inside-homes-and-install-5g-antennas
“COV 19” was found inscribed on a circuit board for a 5G mast.,TheJournal.ie,2020/06/05 ,"Ireland, United Kingdom",FALSE,https://www.poynter.org/?ifcn_misinformation=cov-19-was-found-inscribed-on-a-circuit-board-for-a-5g-mast
"David Icke’s claims that 5G poisons cells, and Bill Gates plans to control population with an invisible ink",Raskrinkavanje,2020/06/04 ,"Bosnia and Herzegovina, Croatia, Serbia",FALSE,https://www.poynter.org/?ifcn_misinformation=david-ickes-claims-that-5g-poisons-cells-and-bill-gates-plans-to-control-population-with-an-invisible-ink
5G detrimentally affects humans and worsens the condition of COVID-19 patients.,VoxCheck,2020/06/04 ,Ukraine,No evidence,https://www.poynter.org/?ifcn_misinformation=5g-detrimentally-affects-humans-and-worsens-the-condition-of-covid-19-patients
