claim,fact-check agency,time,orginated,label,poynter_url
5G wireless technology created the COVID-19 pandemic.,PesaCheck,2020/05/22 ,Kenya,FALSE,https://www.poynter.org/?ifcn_misinformation=5g-wireless-technology-created-the-covid-19-pandemic
There is a link betweek 5G networks and COVID-19.,Détecteur de rumeurs,2020/05/22 ,"Canada, France",FALSE,https://www.poynter.org/?ifcn_misinformation=there-is-a-link-betweek-5g-networks-and-covid-19
A video where a young man who speaks English with a British accent and who claims to be a telecommunications engineer who installs 5G towers claims to have found a piece on an electronic circuit that bears the inscription “COV-19”.,Maldita.es,2020/05/19 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-where-a-young-man-who-speaks-english-with-a-british-accent-and-who-claims-to-be-a-telecommunications-engineer-who-installs-5g-towers-claims-to-have-found-a-piece-on-an-electronic-circuit-that
"A chain that circulates through WhatsApp that says that the coronavirus is not a virus, “as we have been led to believe”, but is “a bacterium, amplified by 5G electromagnetic radiation that also produces inflammation and hypoxia”.",Maldita.es,2020/05/19 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=a-chain-that-circulates-through-whatsapp-that-says-that-the-coronavirus-is-not-a-virus-as-we-have-been-led-to-believe-but-is-a-bacterium-amplified-by-5g-electromagnetic-radiation-that-also-produ
Video showing “COV-19” writings on a piece of equipment installed in 5G towers in United Kingdom.,Demagog,2020/05/18 ,Poland,FALSE,https://www.poynter.org/?ifcn_misinformation=video-showing-cov-19-writings-on-a-piece-of-equipment-installed-in-5g-towers-in-united-kingdom
"Humans are getting sick because the “bioengineered” coronavirus in one’s body is reacting to 5G, and a coronavirus vaccine “with an RFID chip” will be introduced as the cure for the disease, called “mark of the beast.”",VERA Files,2020/05/18 ,Philippines,FALSE,https://www.poynter.org/?ifcn_misinformation=humans-are-getting-sick-because-the-bioengineered-coronavirus-in-ones-body-is-reacting-to-5g-and-a-coronavirus-vaccine-with-an-rfid-chip-will-be-introduce
A post that shows the level of radioactivity of 5G antennas in Argentina.,Chequeado,2020/05/17 ,Argentina,FALSE,https://www.poynter.org/?ifcn_misinformation=a-post-that-shows-the-level-of-radioactivity-of-5g-antennas-in-argentina
5G networks worsen the COVID-19 spread.,Efecto Cocuyo,2020/05/16 ,Venezuela,FALSE,https://www.poynter.org/?ifcn_misinformation=5g-networks-worsen-the-covid-19-spread
There is 5G equipment labeled “COV-19”.,FactCheck Georgia,2020/05/15 ,Georgia,FALSE,https://www.poynter.org/?ifcn_misinformation=there-is-5g-equipment-labeled-cov-19
The coronavirus is an exosome related with 5G.,La Silla Vacía,2020/05/15 ,Colombia,FALSE,https://www.poynter.org/?ifcn_misinformation=the-coronavirus-is-an-exosome-related-with-5g
"5g antennas were installed in Cali, Colombia, during quarantine.",Colombiacheck,2020/05/15 ,Colombia,FALSE,https://www.poynter.org/?ifcn_misinformation=5g-antennas-were-installed-in-cali-colombia-during-quarantine
5G base station motherboard with an inscribed COV-19 mark on it,Raskrinkavanje,2020/05/14 ,Bosnia and Herzegovina,FALSE,https://www.poynter.org/?ifcn_misinformation=5g-base-station-motherboard-with-an-inscribed-cov-19-mark-on-it
Telecommunications worker exposed circuit boards being installed in 5G towers bearing markings that read “COV-19”.,LeadStories,2020/05/14 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=telecommunications-worker-exposed-circuit-boards-being-installed-in-5g-towers-bearing-markings-that-read-cov-19
"A video shows a man in a face mask, safety helmet and hi-vis work top. The man claims he has been installing “5G masts” and has opened a 5G device and found a label that says “COV.19” on a component on the circuit board inside.",AAP FactCheck,2020/05/14 ,Australia,FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-shows-a-man-in-a-face-mask-safety-helmet-and-hi-vis-work-top-the-man-claims-he-has-been-installing-5g-masts-and-has-opened-a-5g-device-and-found-a-label-that-says-cov-19-on-a-component-o
"A blog article claiming that, according to the European Parliament, 5G accelerates the COVID-19 pandemic.",Facta,2020/05/12 ,Italy,FALSE,https://www.poynter.org/?ifcn_misinformation=a-blog-article-claiming-that-according-to-the-european-parliament-5g-accelerates-the-covid-19-pandemic
