claim,fact-check agency,time,orginated,label,poynter_url
Reported results of injections (not vaccines!) In the USA,Vistinomer,2021/06/07 ,North Macedonia,misleading,https://www.poynter.org/?ifcn_misinformation=reported-results-of-injections-not-vaccines-in-the-usa-5165-deaths-51133-seek-medical-attention-39121-admitted-to-the-emergency-center-17619-hospitalized-1565-paralyzes-of-the-face-1342-deve
"Roberto Klaus, a virologist at Albert Einstein Hospital, said Coronavac is not effective and mRNA vaccines can alter your DNA.",Agência Lupa,2021/06/01 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=roberto-klaus-a-virologist-at-albert-einstein-hospital-said-coronavac-is-not-effective-and-mrna-vaccines-can-alter-your-dna
"A video purported to be several patients lying outside a hospital’s emergency room. It claimed that people were receiving treatments on the driveway, indicating the hospital’s capacity is stretched to the limit.",Taiwan FactCheck Center,2021/05/31 ,Taiwan,Explanatory,https://www.poynter.org/?ifcn_misinformation=a-video-purported-to-be-several-patients-lying-outside-a-hospitals-emergency-room-it-claimed-that-people-were-receiving-treatments-on-the-driveway-indicating-the-hospitals-capacity
An ex-Sri Lankan MP in hospital with Covid-19.,AFP,2021/05/28 ,Sri Lanka,Misleading,https://www.poynter.org/?ifcn_misinformation=an-ex-sri-lankan-mp-in-hospital-with-covid-19
A rehabilitation clinic in Taichung has been levied as a mobile hospital.,Taiwan FactCheck Center,2021/05/26 ,Taiwan,FALSE,https://www.poynter.org/?ifcn_misinformation=a-rehabilitation-clinic-in-taichung-has-been-levied-as-a-mobile-hospital
"Posts purported to be words from Dr. Yuarn-Jang Lee of Taipei Medical University Hospital, explaining the backlog of COVID-19 cases. There were two other very similar versions with differences of doctors’ names.",Taiwan FactCheck Center,2021/05/23 ,Taiwan,FALSE,https://www.poynter.org/?ifcn_misinformation=posts-purported-to-be-words-from-dr-yuarn-jang-lee-of-taipei-medical-university-hospital-explaining-the-backlog-of-covid-19-cases-there-were-two-other-very-similar-versions-with-differences-of-doct
"Wonderful news about the Sinovac vaccine that we expect in 500,000 doses",Vistinomer,2021/05/21 ,"North Macedonia, Indonesia",FALSE,https://www.poynter.org/?ifcn_misinformation=wonderful-news-about-the-sinovac-vaccine-that-we-expect-in-500000-doses-indonesia-was-saved-from-the-pandemic-with-this-vaccine-the-data-so-far-say-that-it-is-98-effective-against-death-and-96-effe
A video showing how a hospital employee beats a patient is proof of a fake pandemic.,Myth Detector,2021/05/19 ,"Georgia, India",Misleading,https://www.poynter.org/?ifcn_misinformation=a-video-showing-how-a-hospital-employee-beats-a-patient-is-proof-of-a-fake-pandemic
The head of infectious diseases at a Parisian hospital says he will not be vaccinated against covid-19 due to the many adverse effects.,EFE Verifica,2021/05/12 ,"Spain, France",FALSE,https://www.poynter.org/?ifcn_misinformation=the-head-of-infectious-diseases-at-a-parisian-hospital-says-he-will-not-be-vaccinated-against-covid-19-due-to-the-many-adverse-effects
The British government recognizes in a document that the “resurgence of both hospitalizations and deaths” is “dominated” by people vaccinated against COVID-19,Maldita.es,2021/05/12 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=the-british-government-recognizes-in-a-document-that-the-resurgence-of-both-hospitalizations-and-deaths-is-dominated-by-people-vaccinated-against-covid-19
A food supplement is a Covid-19 treatment; the remedy cured patients at a local hospital.,AFP,2021/05/10 ,Sri Lanka,FALSE,https://www.poynter.org/?ifcn_misinformation=a-food-supplement-is-a-covid-19-treatment-the-remedy-cured-patients-at-a-local-hospital
The SPI-M-O prognosis shows that the third wave of COVID-19 will result in hospitalization and death of 60-70% of people who receive both doses of the vaccine.,Myth Detector,2021/05/07 ,Georgia,MISLEADING,https://www.poynter.org/?ifcn_misinformation=the-spi-m-o-prognosis-shows-that-the-third-wave-of-covid-19-will-result-in-hospitalization-and-death-of-60-70-of-people-who-receive-both-doses-of-the-vaccine
A flood in Manaus destroyed a makeshift hospital that was used to treat COVID-19 patients.,Agência Lupa,2021/05/07 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=a-flood-in-manaus-destroyed-a-makeshift-hospital-that-was-used-to-treat-covid-19-patients
A video showing health workers singing in an empty hospital ward portrays the “truth” of the coronavirus pandemic in Brazil.,AFP,2021/05/06 ,"New Zealand, Brazil",Misleading,https://www.poynter.org/?ifcn_misinformation=a-video-showing-health-workers-singing-in-an-empty-hospital-ward-portrays-the-truth-of-the-coronavirus-pandemic-in-brazil
"The cause of the oxygen crisis in India is gas line leaks in hospitals, not a spike in Covid-19 cases.",TEMPO,2021/05/05 ,"Indonesia, India",Misleading,https://www.poynter.org/?ifcn_misinformation=the-cause-of-the-oxygen-crisis-in-india-is-gas-line-leaks-in-hospitals-not-a-spike-in-covid-19-cases
