claim,fact-check agency,time,orginated,label,poynter_url
Video showing dead bodies of coronavirus patients in Osmania Hospital’s mortuary.,Vishvas News,2020/06/27 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=video-showing-dead-bodies-of-coronavirus-patients-in-osmania-hospitals-mortuary
Osmania Hospital in Hyderabad cannot bear the burden of COVID-19 cases as corpses lay stacked outside the hospital,BOOM FactCheck,2020/06/26 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=osmania-hospital-in-hyderabad-cannot-bear-the-burden-of-covid-19-cases-as-corpses-lay-stacked-outside-the-hospital
"A video shot in an empty Brazilian emergency hospital, which would therefore infirm the presence of a new spike in Covid-19 cases in the country.",Facta,2020/06/26 ,Italy,FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-shot-in-an-empty-brazilian-emergency-hospital-which-would-therefore-infirm-the-presence-of-a-new-spike-in-covid-19-cases-in-the-country
"Dead bodies wrapped in these white cloths are those of the people who died of COVID-19 in Osmania Hospital, in the city of Hyderabad, India.",BOOM FactCheck,2020/06/26 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=dead-bodies-wrapped-in-these-white-cloths-are-those-of-the-people-who-died-of-covid-19-in-osmania-hospital-in-the-city-of-hyderabad-india
The Minister of Health in Colombia has confirmed that hospitals and clinics have a “macabre business”.,Colombiacheck,2020/06/26 ,Colombia,Partially false,https://www.poynter.org/?ifcn_misinformation=the-minister-of-health-in-colombia-has-confirmed-that-hospitals-and-clinics-have-a-macabre-business
"An Egyptian doctor publishes a picture of the hands of his colleague who works in the first line of defense to treat coronavirus patients in a hospital, and how it was affected by the long period of wearing protective gloves.",Misbar,2020/06/26 ,Egypt,Misleading,https://www.poynter.org/?ifcn_misinformation=an-egyptian-doctor-publishes-a-picture-of-the-hands-of-his-colleague-who-works-in-the-first-line-of-defense-to-treat-coronavirus-patients-in-a-hospital-and-how-it-was-affected-by-the-long-period-of-w
Hospital in Pakistan is overwhelmed by COVID-19 patients,BOOM FactCheck,2020/06/26 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=hospital-in-pakistan-is-overwhelmed-by-covid-19-patients
"Brazilian hospitals receive R$ 18,000 per death registered due to COVID-19.",Estadão Verifica,2020/06/25 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=brazilian-hospitals-receive-r-18000-per-death-registered-due-to-covid-19
"Brazilian hospitals receive R$ 18,000 for each death registered with “suspected COVID-19”",Aos Fatos,2020/06/25 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=brazilian-hospitals-receive-r-18000-for-each-death-registered-with-suspected-covid-19
"A video circulating on social media proves that there is no COVID-19 patient in a hospital in Brazil where authorities claimed there were over 5,000 patients and 200 dead people from the pandemic.",Ellinika Hoaxes,2020/06/25 ,Greece,Misleading,https://www.poynter.org/?ifcn_misinformation=a-video-circulating-on-social-media-proves-that-there-is-no-covid-19-patient-in-a-hospital-in-brazil-where-authorities-claimed-there-were-over-5000-patients-and-200-dead-people-from-the-pandemic-2
A video shows Israeli doctors dancing after they managed to zero out the number of COVID-19 patients in the hospital.,Estadão Verifica,2020/06/25 ,Brazil,Misleading,https://www.poynter.org/?ifcn_misinformation=a-video-shows-israeli-doctors-dancing-after-they-managed-to-zero-out-the-number-of-covid-19-patients-in-the-hospital
"A video that compares the progress of hospitals in La Matanza (Buenos Aires, Argentina).",Chequeado,2020/06/25 ,Argentina,Misleading,https://www.poynter.org/?ifcn_misinformation=a-video-that-compares-the-progress-of-hospitals-in-la-matanza-buenos-aires-argentina
"By revoking the permission to use chloroquine in hospitalized patients, the FDA expanded the use of the drug in the USA.",Aos Fatos,2020/06/24 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=by-revoking-the-permission-to-use-chloroquine-in-hospitalized-patients-the-fda-expanded-the-use-of-the-drug-in-the-usa
"Video shows a doctor from Breach Candy Hospital of Mumbai claiming that If you can hold your breath for a longer period without discomfort, you don’t have Coronavirus.",FactCrescendo,2020/06/24 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=video-shows-a-doctor-from-breach-candy-hospital-of-mumbai-claiming-that-if-you-can-hold-your-breath-for-a-longer-period-without-discomfort-you-dont-have-coronavirus
Hospital in Brazilian city of Fortaleza closes Covid-19 ward due to lack of patients.,Aos Fatos,2020/06/24 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=hospital-in-brazilian-city-of-fortaleza-closes-covid-19-ward-due-to-lack-of-patients
