claim,fact-check agency,time,orginated,label,poynter_url
"Video states that the autonomous communities and the hospitals receive 2,500 euros every time a patient tests positive for COVID-19 in a PCR test",Maldita.es,2020/11/24 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=video-states-that-the-autonomous-communities-and-the-hospitals-receive-2500-euros-every-time-a-patient-tests-positive-for-covid-19-in-a-pcr-test
"List of hospital recommendations against COVID-19, including vitamin C and “basic” food",Agência Lupa,2020/11/24 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=list-of-hospital-recommendations-against-covid-19-including-vitamin-c-and-basic-food
There were 10 children admitted to a hospital in Vienna (Austria) with a fungal infection from wearing a mask,Maldita.es,2020/11/23 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=there-were-10-children-admitted-to-a-hospital-in-vienna-austria-with-a-fungal-infection-from-wearing-a-mask
"Authorities closed tuberculosis dispensaries and mental health hospitals – it is a wrong decision. So, the lockdown – also introduced by the government – is also not beneficial for people.",VoxCheck,2020/11/21 ,Ukraine,MISLEADING,https://www.poynter.org/?ifcn_misinformation=authorities-closed-tuberculosis-dispensaries-and-mental-health-hospitals-it-is-a-wrong-decision-so-the-lockdown-also-introduced-by-the-government-is-also-not-beneficial-for-people
"A viral video depicts a patient in a hospital COVID-19 wing without a mask, proving that the safety measures for the pandemic are a hoax.",Ellinika Hoaxes,2020/11/19 ,Greece,MISLEADING,https://www.poynter.org/?ifcn_misinformation=a-viral-video-depicts-a-patient-in-a-hospital-covid-19-wing-without-a-mask-proving-that-the-safety-measures-for-the-pandemic-are-a-hoax
Healthcare professionals offered home remedies for people who do not want to risk going to the hospital immediately,Vistinomer,2020/11/10 ,North Macedonia,Partially false,https://www.poynter.org/?ifcn_misinformation=healthcare-professionals-offered-home-remedies-for-people-who-do-not-want-to-risk-going-to-the-hospital-immediately
The pandemic hospital in the photo was built in Bayburt.,Doğruluk Payı,2020/11/09 ,Turkey,FALSE,https://www.poynter.org/?ifcn_misinformation=the-pandemic-hospital-in-the-photo-was-built-in-bayburt
"A video from television news reports on November 6th proves that the news fear monger over the strain the pandemic exerts over the national health system, since their own footage shows empty beds in hospitals.",Ellinika Hoaxes,2020/11/06 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-from-television-news-reports-on-november-6th-proves-that-the-news-fear-monger-over-the-strain-the-pandemic-exerts-over-the-national-health-system-since-their-own-footage-shows-empty-beds-in-h
A video of a couple together in hospital who are allegedly Italian COVID-19 victims,AFP,2020/11/05 ,Pakistan,FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-of-a-couple-together-in-hospital-who-are-allegedly-italian-covid-19-victims
Data of patients at the intensive care units of hospitals run by the Helios company show that there is no pandemic,Correctiv,2020/11/02 ,Germany,Missing context,https://www.poynter.org/?ifcn_misinformation=data-of-patients-at-the-intensive-care-units-of-hospitals-run-by-the-helios-company-show-that-there-is-no-pandemic
The hospital for patients with COVID-19 in Hungary resembles a concentration camp.,VoxCheck,2020/11/02 ,Ukraine,No evidence,https://www.poynter.org/?ifcn_misinformation=the-hospital-for-patients-with-covid-19-in-hungary-resembles-a-concentration-camp
"Everyone that is currently dying in hospitals in Macedonia is stated that have died of Covid-19, ALL patients with cancer, heart disease, traffic accidents, homicides, suicides, at the request of the public prosecutor, testing is required AFTER death and they are registered as Covid-19 deaths.",Vistinomer,2020/10/25 ,North Macedonia,FALSE,https://www.poynter.org/?ifcn_misinformation=everyone-that-is-currently-dying-in-hospitals-in-macedonia-is-stated-that-have-died-of-covid-19-all-patients-with-cancer-heart-disease-traffic-accidents-homicides-suicides-at-the-request-of-the
These video of empty hospitals prove Covid is a hoax,AFP,2020/10/22 ,France,FALSE,https://www.poynter.org/?ifcn_misinformation=these-video-of-empty-hospitals-prove-covid-is-a-hoax
"This doctor makes several false claims on PCR tests, HCQ and hospitals",AFP,2020/10/22 ,France,FALSE,https://www.poynter.org/?ifcn_misinformation=this-doctor-makes-several-false-claims-on-pcr-tests-hcq-and-hospitals
The scientific journal Peer J. published relevant data that all those who were vaccinated with the flu vaccine were infected with the so-called Covid-19 and their condition got worse by hospital “treatments”.,Vistinomer,2020/10/20 ,North Macedonia,FALSE,https://www.poynter.org/?ifcn_misinformation=the-scientific-journal-peer-j-published-relevant-data-that-all-those-who-were-vaccinated-with-the-flu-vaccine-were-infected-with-the-so-called-covid-19-and-their-condition-got-worse-by-hospital-trea
