claim,fact-check agency,time,orginated,label,poynter_url
"First death from coronavirus in Barranquilla, Columbia.",La Silla Vacía,2020/03/26 ,Colombia,False,https://www.poynter.org/?ifcn_misinformation=first-death-from-coronavirus-in-barranquilla-columbia
Image of dead bodies of coronavirus victims in Italy.,Factly,2020/03/26 ,India,False,https://www.poynter.org/?ifcn_misinformation=image-of-dead-bodies-of-coronavirus-victims-in-italy
"Photo posts claim a person is committing suicide by jumping from a building in Italy, a doctor couple in an Italian hospital a few hours before their death and chaos in an Italian hospital amid COVID-19.",FactCrescendo,2020/03/26 ,"Sri Lanka, India",False,https://www.poynter.org/?ifcn_misinformation=photo-posts-claim-a-person-is-committing-suicide-by-jumping-from-a-building-in-italy-a-doctor-couple-in-an-italian-hospital-a-few-hours-before-their-death-and-chaos-in-an-italian-hospital-amid-covid
"Dead bodies of coronavirus patients are being discarded in mass graves in Italy, according to a 23-second video clip that has gone viral on social media.",Rappler,2020/03/26 ,"Philippines, Italy",False,https://www.poynter.org/?ifcn_misinformation=dead-bodies-of-coronavirus-patients-are-being-discarded-in-mass-graves-in-italy-according-to-a-23-second-video-clip-that-has-gone-viral-on-social-media
A councilor for Podemos in the Canary Islands tweeted that there are “useless elderly dead” that “are left over on the street.”,Newtral.es,2020/03/26 ,Spain,False,https://www.poynter.org/?ifcn_misinformation=a-councilor-for-podemos-in-the-canary-islands-tweeted-that-there-are-useless-elderly-dead-that-are-left-over-on-the-street
A picture showing dead Italian doctors in an operating theater after succumbing to COVID-19.,PesaCheck,2020/03/25 ,Italy,False,https://www.poynter.org/?ifcn_misinformation=a-picture-showing-dead-italian-doctors-in-an-operating-theater-after-succumbing-to-covid-19
High death rate in Italy is due to people taking Ibuprofen.,AfricaCheck,2020/03/25 ,South Africa,False,https://www.poynter.org/?ifcn_misinformation=high-death-rate-in-italy-is-due-to-people-taking-ibuprofen
"After dealing with 134 patients, an Italian doctor couple took off their masks and stared at each other from the bottom of their hearts. Both died later.",Taiwan FactCheck Center,2020/03/25 ,Taiwan,False,https://www.poynter.org/?ifcn_misinformation=after-dealing-with-134-patients-an-italian-doctor-couple-took-off-their-masks-and-stared-at-each-other-from-the-bottom-of-their-hearts-both-died-later
Deaths blamed on coronavirus are actually due to the flu.,LeadStories,2020/03/24 ,United States,False,https://www.poynter.org/?ifcn_misinformation=deaths-blamed-on-coronavirus-are-actually-due-to-the-flu
Pakistani Dr. Usman Riaz speaks about coronavirus before his death.,The Quint,2020/03/24 ,India,False,https://www.poynter.org/?ifcn_misinformation=pakistani-dr-usman-riaz-speaks-about-coronavirus-before-his-death
"Kerala has asked NABARD for a loan of Rs 20,000 crore to deal with COVID-19.",Factly,2020/03/24 ,India,False,https://www.poynter.org/?ifcn_misinformation=kerala-has-asked-nabard-for-a-loan-of-rs-20000-crore-to-deal-with-covid-19
"New York Governor Andrew Cuomo “rejected buying the recommended 16,000 ventilators in 2015 for a pandemic, and established death panels and lotteries instead. So he had a chance to buy, in 2015, 16,000 ventilators at a very low price, and he turned it down.”",PolitiFact,2020/03/24 ,United States,False,https://www.poynter.org/?ifcn_misinformation=new-york-governor-andrew-cuomo-rejected-buying-the-recommended-16000-ventilators-in-2015-for-a-pandemic-and-established-death-panels-and-lotteries-instead-so-he-had-a-chance-to-buy-in-201
A claim that the Swedish hospitals were going to start using “death forms” to decide which patients to treat and which to send home to die without healthcare.,Källkritikbyrån,2020/03/24 ,Sweden,MISLEADING,https://www.poynter.org/?ifcn_misinformation=a-claim-that-the-swedish-hospitals-were-going-to-start-using-death-forms-to-decide-which-patients-to-treat-and-which-to-send-home-to-die-without-healthcare
Justin Trudeau’s wife has released a video from her hospital bed.,The Quint,2020/03/24 ,India,False,https://www.poynter.org/?ifcn_misinformation=justin-trudeaus-wife-has-released-a-video-from-her-hospital-bed
The new hantavirus is a deadly problem emerging in China. There is no cure for it.,VoxCheck,2020/03/24 ,Ukraine,Misleading,https://www.poynter.org/?ifcn_misinformation=the-new-hantavirus-is-a-deadly-problem-emerging-in-china-there-is-no-cure-for-it
