claim,fact-check agency,time,orginated,label,poynter_url
A post says that there were no cases of COVID-19 in Beijing and Shanghai.,Observador,2020/05/15 ,Portugal,FALSE,https://www.poynter.org/?ifcn_misinformation=a-post-says-that-there-were-no-cases-of-covid-19-in-beijing-and-shanghai
A viral WhatsApp image showcases a list of woud-be coronavirus infection hotspots in Ghana.,Dubawa,2020/05/14 ,Ghana,FALSE,https://www.poynter.org/?ifcn_misinformation=a-viral-whatsapp-image-showcases-a-list-of-woud-be-coronavirus-infection-hotspots-in-ghana
There is a case of COVID-19 on the Rohero campus of the University of Burundi.,PesaCheck,2020/05/13 ,Burundi,FALSE,https://www.poynter.org/?ifcn_misinformation=there-is-a-case-of-covid-19-on-the-rohero-campus-of-the-university-of-burundi
Kenya had the highest cases of COVID-19 in Africa and the fifth-highest in the world on May 6.,PesaCheck,2020/05/13 ,Kenya,FALSE,https://www.poynter.org/?ifcn_misinformation=kenya-had-the-highest-cases-of-covid-19-in-africa-and-the-fifth-highest-in-the-world-on-may-6
Tweet by Assam Health Minister Himanta Biswa Sarma regarding newly found COVID-19 positive cases.,FactCrescendo,2020/05/12 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=tweet-by-assam-health-minister-himanta-biswa-sarma-regarding-newly-found-covid-19-positive-cases
A newspaper article claiming that “17 Regions had no new cases of coronavirus” in Italy.,Facta,2020/05/12 ,Italy,FALSE,https://www.poynter.org/?ifcn_misinformation=a-newspaper-article-claiming-that-17-regions-had-no-new-cases-of-coronavirus-in-italy
"Image claiming to be a protest against pastor David Lah, who is believed to have conducted a religious gathering without adhering to social distancing measures resulting in 70 COVID-19 confirm cases.",FactCrescendo,2020/05/12 ,Myanmar,FALSE,https://www.poynter.org/?ifcn_misinformation=image-claiming-to-be-a-protest-against-pastor-david-lah-who-is-believed-to-have-conducted-a-religious-gathering-without-adhering-to-social-distancing-measures-resulting-in-70-covid-19-confirm-cases
Greece is the number one country in terms of how many coronavirus tests have been conducted for each confirmed case.,Ellinika Hoaxes,2020/05/12 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=greece-is-the-number-one-country-in-terms-of-how-many-coronavirus-tests-have-been-conducted-for-each-confirmed-case
The departament of Guaviare in Colombia has 10 cases of coronavirus.,La Silla Vacía,2020/05/11 ,Colombia,FALSE,https://www.poynter.org/?ifcn_misinformation=the-departament-of-guaviare-in-colombia-has-10-cases-of-coronavirus
There are no doctors in the hotels and other accomodation centers where people with mild case of COVID-19 are being quarantined in Japan.,INFACT,2020/05/11 ,Japan,Misleading,https://www.poynter.org/?ifcn_misinformation=there-are-no-doctors-in-the-hotels-and-other-accomodation-centers-where-people-with-mild-case-of-covid-19-are-being-quarantined-in-japan
Burundi had 274 cases of COVID-19 and only one death on April 30.,PesaCheck,2020/05/08 ,Burundi,FALSE,https://www.poynter.org/?ifcn_misinformation=burundi-had-274-cases-of-covid-19-and-only-one-death-on-april-30
“The mainstream media pretended there was a deadly surge in COVID cases thanks to Wisconsinites voting.”,PolitiFact,2020/05/08 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=the-mainstream-media-pretended-there-was-a-deadly-surge-in-covid-cases-thanks-to-wisconsinites-voting
Multiple Facebook posts shared tens of thousands of times claim that Thailand has “ranked no. 1 in the COVID-19 fight category” based on an international health security index. The posts add Thailand has the “lowest number of infected cases at present”.,AFP,2020/05/08 ,Thailand,mislEADING,https://www.poynter.org/?ifcn_misinformation=multiple-facebook-posts-shared-tens-of-thousands-of-times-claim-that-thailand-has-ranked-no-1-in-the-covid-19-fight-category-based-on-an-international-health-security-index-the-pos
Multiple Facebook posts shared tens of thousands of times claim that Thailand has “ranked no. 1 in the COVID-19 fight category” based on an international health security index. The posts add Thailand has the “lowest number of infected cases at present”.,AFP,2020/05/08 ,Thailand,mislEADING,https://www.poynter.org/?ifcn_misinformation=multiple-facebook-posts-shared-tens-of-thousands-of-times-claim-that-thailand-has-ranked-no-1-in-the-covid-19-fight-category-based-on-an-international-health-security-index-the-pos-2
16 COVID-19 cases reported in Ernakulam hours after it was declared Green Zone by Kerala government.,FactCrescendo,2020/05/05 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=16-covid-19-cases-reported-in-ernakulam-hours-after-it-was-declared-green-zone-by-kerala-government
