claim,fact-check agency,time,orginated,label,poynter_url
Brazilian City of Rancho Queimado treats inhabitants with chloroquine and ivermectin and does not record any deaths by COVID-19.,Aos Fatos,2021/03/09 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=brazilian-city-of-rancho-queimado-treats-inhabitants-with-chloroquine-and-ivermectin-and-does-not-record-any-deaths-by-covid-19
"In the first year of the pandemic, Brazil had less deaths than 2019",Estadão Verifica,2021/03/09 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=in-the-first-year-of-the-pandemic-brazil-had-less-deaths-than-2019
"Waldo Wolff, on the coronavirus",Chequeado,2021/03/09 ,Argentina,FALSE,https://www.poynter.org/?ifcn_misinformation=waldo-wolff-on-the-coronavirus-argentina-is-among-the-10-countries-with-the-most-deaths-per-million-inhabitants-in-the-world
A new UK report has proved a causal link between deaths and the AstraZeneca vaccine.,Ellinika Hoaxes,2021/03/08 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=a-new-uk-report-has-proved-a-causal-link-between-deaths-and-the-astrazeneca-vaccine
Suspension of vaccination in Austria with AstraZeneca after the death of a 49 year old woman,AFP,2021/03/07 ,"France, Austria",FALSE,https://www.poynter.org/?ifcn_misinformation=suspension-of-vaccination-in-austria-with-astrazeneca-after-the-death-of-a-49-year-old-woman
A life insurance company will stop paying fees in case of death of a vaccinated person,AFP,2021/03/07 ,"France, Canada",FALSE,https://www.poynter.org/?ifcn_misinformation=a-life-insurance-company-will-stop-paying-fees-in-case-of-death-of-a-vaccinated-person
In the USA the deaths after vaccine double every 20 days,StopFake.org,2021/03/05 ,"Ukraine, United States",FALSE,https://www.poynter.org/?ifcn_misinformation=in-the-usa-the-deaths-after-vaccine-double-every-20-days
CDC has already identified 500 deaths in US due to COVID-10 vaccines,Estadão Verifica,2021/03/04 ,"Brazil, United States",MISLEADING,https://www.poynter.org/?ifcn_misinformation=cdc-has-already-identified-500-deaths-in-us-due-to-covid-10-vaccines
A tuto in video to find the real number of deaths after Covid-19 vaccination in Europe,AFP,2021/03/04 ,France,PARTLY FALSE,https://www.poynter.org/?ifcn_misinformation=a-tuto-in-video-to-find-the-real-number-of-deaths-after-covid-19-vaccination-in-europe
Brazil’s regulatory agency records 30 deaths due to COVID-19 vaccines,Estadão Verifica,2021/03/03 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=brazils-regulatory-agency-records-30-deaths-due-to-covid-19-vaccines
Health Surveillance Agency confirms that vaccines against Covid-19 caused the death of brazilians,Aos Fatos,2021/03/03 ,Brazil,MISLEADING,https://www.poynter.org/?ifcn_misinformation=health-surveillance-agency-confirms-that-vaccines-against-covid-19-caused-the-death-of-brazilians
"While having a vaccination process, Covid-19 death rate has increased in Israel",FactCheck Georgia,2021/03/03 ,Georgia,MISLEADING,https://www.poynter.org/?ifcn_misinformation=while-having-a-vaccination-process-covid-19-death-rate-has-increased-in-israel
The death rate from COVID vaccines in Israeli elderly is 40 times higher than the COVID deaths themselves,Animal Político,2021/03/02 ,Mexico,FALSE,https://www.poynter.org/?ifcn_misinformation=the-death-rate-from-covid-vaccines-in-israeli-elderly-is-40-times-higher-than-the-covid-deaths-themselves
Two Chinese-American doctors in Houston died from COVID-19 even though both of them received Pfizer vaccine. Vaccine can not protecting people from death and severe COVID even after two shots as the virus has mutated,Taiwan FactCheck Center,2021/03/01 ,Taiwan,PARTLY FALSE,https://www.poynter.org/?ifcn_misinformation=two-chinese-american-doctors-in-houston-died-from-covid-19-even-though-both-of-them-received-pfizer-vaccine-vaccine-can-not-protecting-people-from-death-and-severe-covid-even-after-two-shots-as-the-v
"Fernando Simón, director of the Center for the Coordination of Health Alerts and Emergencies of the Spanish Ministry of Health, has recognized that deaths from other causes are included as if they were from COVID-19",Maldita.es,2021/02/26 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=fernando-simon-director-of-the-center-for-the-coordination-of-health-alerts-and-emergencies-of-the-spanish-ministry-of-health-has-recognized-that-deaths-from-other-causes-are-included-as-if-they-wer
