claim,fact-check agency,time,orginated,label,poynter_url
Every patient with pneumonia and contact with a SARS-CoV-2 positive person will be counted as a Covid case,Correctiv,2020/11/28 ,Germany,Missing context,https://www.poynter.org/?ifcn_misinformation=every-patient-with-pneumonia-and-contact-with-a-sars-cov-2-positive-person-will-be-counted-as-a-covid-case
A viral video on Facebook exposes the pandemic hoax depicting actors posing as COVID-19 cases.,Ellinika Hoaxes,2020/11/27 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=a-viral-video-on-facebook-exposes-the-pandemic-hoax-depicting-actors-posing-as-covid-19-cases
Photos showing personnel carrying the cases containing the Pfizer/BioNTech mRNA vaccine prove the authorities are mocking greek citizens. These vaccines need to be refrigerated at a -70°C and the trucks that carried them are not capable of sustain these temperatures.,Ellinika Hoaxes,2020/11/26 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=photos-showing-personnel-carrying-the-cases-containing-the-pfizer-biontech-mrna-vaccine-prove-the-authorities-are-mocking-greek-citizens-these-vaccines-need-to-be-refrigerated-at-a-70c-and-the
The COVID-19 vaccine is not needed because the disease is successfully treated in 99.9% of cases.,VoxCheck,2020/11/25 ,Ukraine,FALSE,https://www.poynter.org/?ifcn_misinformation=the-covid-19-vaccine-is-not-needed-because-the-disease-is-successfully-treated-in-99-9-of-cases
Coronavirus cases decreased in Bolivia because of the approval of chlorine dioxide,La Silla Vacía,2020/11/20 ,Colombia,Misleading,https://www.poynter.org/?ifcn_misinformation=coronavirus-cases-decreased-in-bolivia-because-of-the-approval-of-chlorine-dioxide
"Researchers were forced to withdraw a “pro-mask study” after increase in SARS-CoV-2 cases in the areas that were originally analyzed in the study, showing that masks don’t work",Science Feedback,2020/11/17 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=researchers-were-forced-to-withdraw-a-pro-mask-study-after-increase-in-sars-cov-2-cases-in-the-areas-that-were-originally-analyzed-in-the-study-showing-that-masks-dont-work
There are only more cases because Germany tests more,Correctiv,2020/11/15 ,Germany,Missing context,https://www.poynter.org/?ifcn_misinformation=there-are-only-more-cases-because-germany-tests-more
The instruction manual for a COVID-19 diagnostic test states that it can give a positive result in case the person who provided the sample had in the past contracted any coronavirus.,Ellinika Hoaxes,2020/11/14 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=the-instruction-manual-for-a-covid-19-diagnostic-test-states-that-it-can-give-a-positive-result-in-case-the-person-who-provided-the-sample-had-in-the-past-contracted-any-coronavirus
An image of two lorries transporting coffins claims to show preparations for Sri Lanka’s second wave of coronavirus cases in November 2020.,AFP,2020/11/13 ,Sri Lanka,Misleading,https://www.poynter.org/?ifcn_misinformation=an-image-of-two-lorries-transporting-coffins-claims-to-show-preparations-for-sri-lankas-second-wave-of-coronavirus-cases-in-november-2020
In Sweden 98% of reported deaths from COVID-19 were actually deaths from unrelated causes. The vast majority of the reported cases were fake and 23 doctors were sent to prison for this deception.,Ellinika Hoaxes,2020/11/10 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=in-sweden-98-of-reported-deaths-from-covid-19-were-actually-deaths-from-unrelated-causes-the-vast-majority-of-the-reported-cases-were-fake-and-23-doctors-were-sent-to-prison-for-this-deception
Director of the U.S. National Institute for Allergy and Infectious Diseases Anthony Fauci stated that large numbers of positive COVID-19 cases may arise from oversensitive tests that pick up mere fragments of the virus. Hence many patients may have been receiving false-positive test results.,Science Feedback,2020/11/09 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=director-of-the-u-s-national-institute-for-allergy-and-infectious-diseases-anthony-fauci-stated-that-large-numbers-of-positive-covid-19-cases-may-arise-from-oversensitive-tests-that-pick-up-mere-frag
The government introduces new measures due to the new record number of cases. The schools are to switch to distance education; the transport will stop working; malls will be closed.,VoxCheck,2020/11/07 ,Ukraine,FALSE,https://www.poynter.org/?ifcn_misinformation=the-government-introduces-new-measures-due-to-the-new-record-number-of-cases-the-schools-are-to-switch-to-distance-education-the-transport-will-stop-working-malls-will-be-closed
A person in Canada who was allegedly diagnosed with COVID-19 after cancelling a swab appointment (amid claims that case count is inflated),AFP,2020/11/06 ,Canada,FALSE,https://www.poynter.org/?ifcn_misinformation=a-person-in-canada-who-was-allegedly-diagnosed-with-covid-19-after-cancelling-a-swab-appointment-amid-claims-that-case-count-is-inflated
The reason why the COVID-19 mortality rate and cases have decreased is due to preexisting immunity from T cells,Science Feedback,2020/10/30 ,United States,,https://www.poynter.org/?ifcn_misinformation=the-reason-why-the-covid-19-mortality-rate-and-cases-have-decreased-is-due-to-preexisting-immunity-from-t-cells
Coronavirus “killed” the flu because flu cases are recorded in COVID-19 statistics.,VoxCheck,2020/10/28 ,Ukraine,FALSE,https://www.poynter.org/?ifcn_misinformation=coronavirus-killed-the-flu-because-flu-cases-are-recorded-in-covid-19-statistics
