claim,fact-check agency,time,orginated,label,poynter_url
Germany’s year-on-year death toll has not risen despite the COVID-19 pandemic striking during 2020.,AAP FactCheck,2021/01/27 ,Australia,FALSE,https://www.poynter.org/?ifcn_misinformation=germanys-year-on-year-death-toll-has-not-risen-despite-the-covid-19-pandemic-striking-during-2020
"Atlanta baseball legend Hank Aaron’s death linked to his Moderna Covid-19 vaccination,",AFP,2021/01/27 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=atlanta-baseball-legend-hank-aarons-death-linked-to-his-moderna-covid-19-vaccination
Pfizer vaccination has stopped due to the death of up to 400 people in Norway.,Myth Detector,2021/01/27 ,"Georgia, Norway",FALSE,https://www.poynter.org/?ifcn_misinformation=pfizer-vaccination-has-stopped-due-to-the-death-of-up-to-400-people-in-norway
"The horrific effects of the vaccine that the corrupt world media are silent about range from rapid death after the first dose, to paralysis of the body and facial paralysis, neurological disorders, while the happiest, like those in India, are threatened only by impotence.",Vistinomer,2021/01/27 ,North Macedonia,FALSE,https://www.poynter.org/?ifcn_misinformation=the-horrific-effects-of-the-vaccine-that-the-corrupt-world-media-are-silent-about-range-from-rapid-death-after-the-first-dose-to-paralysis-of-the-body-and-facial-paralysis-neurological-disorders-wh
"Because the new variant is not more lethal, there will not be an increase of deaths",Détecteur de rumeurs,2021/01/26 ,"Canada, France",MISLEADING,https://www.poynter.org/?ifcn_misinformation=because-the-new-variant-is-not-more-lethal-there-will-not-be-an-increase-of-deaths
Pfizer tested an antibiotic on minors in Nigeria leaving about 200 people dead,Myth Detector,2021/01/26 ,Georgia,Partially false,https://www.poynter.org/?ifcn_misinformation=pfizer-tested-an-antibiotic-on-minors-in-nigeria-leaving-about-200-people-dead
Norway and health experts call for an end to the vaccination process after many dead elderly in Norway and USA!,Vistinomer,2021/01/26 ,"North Macedonia, Norway, United States",Missing context,https://www.poynter.org/?ifcn_misinformation=norway-and-health-experts-call-for-an-end-to-the-vaccination-process-after-many-dead-elderly-in-norway-and-usa
The vaccine became a cause of mass deaths in Gibraltar.,VoxCheck,2021/01/26 ,Ukraine,NO EVIDENCE,https://www.poynter.org/?ifcn_misinformation=the-vaccine-became-a-cause-of-mass-deaths-in-gibraltar
Sergii Hula,VoxCheck,2021/01/25 ,Ukraine,MISLEADING,https://www.poynter.org/?ifcn_misinformation=sergii-hula-vaccines-caused-five-deaths-in-france
The National Death Index indicates that there were fewer deaths in 2020 than in 2019,Maldita.es,2021/01/25 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=the-national-death-index-indicates-that-there-were-fewer-deaths-in-2020-than-in-2019
The answer comes from the EMA (European Medical Agency) which formulated three “main objections” to this vaccine,Vistinomer,2021/01/24 ,North Macedonia,FALSE,https://www.poynter.org/?ifcn_misinformation=the-answer-comes-from-the-ema-european-medical-agency-which-formulated-three-main-objections-to-this-vaccine-lack-of-approval-for-some-production-plants-lack-of-data-on-commercial-vaccine-batche
"Hank Aaron’s death was a result of being vaccinated against COVID-19 in early January,",FactCheck.org,2021/01/23 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=hank-aarons-death-was-a-result-of-being-vaccinated-against-covid-19-in-early-january
"Hank Aaron’s death was a result of being vaccinated against COVID-19 in early January,",FactCheck.org,2021/01/23 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=hank-aarons-death-was-a-result-of-being-vaccinated-against-covid-19-in-early-january-2
Baseball legend Hank Aaron’s “tragic death is part of a wave of suspicious deaths among elderly closely following administration of COVID vaccines.”,Science Feedback,2021/01/23 ,United States,MISLEADING,https://www.poynter.org/?ifcn_misinformation=baseball-legend-hank-aarons-tragic-death-is-part-of-a-wave-of-suspicious-deaths-among-elderly-closely-following-administration-of-covid-vaccines
The lack of deaths and hospitalisations from flu is because cases are being diagnosed as COVID-19 instead,TheJournal.ie,2021/01/23 ,Ireland,FALSE,https://www.poynter.org/?ifcn_misinformation=the-lack-of-deaths-and-hospitalisations-from-flu-is-because-cases-are-being-diagnosed-as-covid-19-instead
