claim,fact-check agency,time,orginated,label,poynter_url
Norway prohibited the Biontech/Pfizer vaccine because it caused 23 deaths,Correctiv,2021/01/15 ,"Germany, Norway",FALSE,https://www.poynter.org/?ifcn_misinformation=norway-prohibited-the-biontech-pfizer-vaccine-because-it-caused-23-deaths
CDC admits,Vistinomer,2021/01/13 ,North Macedonia,FALSE,https://www.poynter.org/?ifcn_misinformation=cdc-admits-at-least-96-of-deaths-from-covid19-were-wrong
"The coronavirus pandemic is a hoax, which is proven by Germany’s and Georgia’s mortality figures for 2017-2020. According to these figures, the number of deaths for all causes is much lower in 2020 compared to the deaths reported in 2017-2019.",Myth Detector,2021/01/13 ,"Georgia, Germany",FALSE,https://www.poynter.org/?ifcn_misinformation=the-coronavirus-pandemic-is-a-hoax-which-is-proven-by-germanys-and-georgias-mortality-figures-for-2017-2020-according-to-these-figures-the-number-of-deaths-for-all-causes-is-much-lower-in
"If we know from science, that for a flu or other infectious disease it takes 10-30 years to make a “safe” vaccine, how could they make a vaccine in 10 months for such a “deadly” virus that has passed the propaganda of all pandemics so far in humanity.",Vistinomer,2021/01/12 ,North Macedonia,FALSE,https://www.poynter.org/?ifcn_misinformation=if-we-know-from-science-that-for-a-flu-or-other-infectious-disease-it-takes-10-30-years-to-make-a-safe-vaccine-how-could-they-make-a-vaccine-in-10-months-for-such-a-deadly-virus-that-has-passed
The cause of deaths in Spanish flu was vaccination.,Doğruluk Payı,2021/01/12 ,Turkey,FALSE,https://www.poynter.org/?ifcn_misinformation=the-cause-of-deaths-in-spanish-flu-was-vaccination
"A table comparing the number of deaths by several other causes, including Aids, traffic accidents, cancer and “abortion”, and COVID-19 in 2020",Agência Lupa,2021/01/11 ,Brazil,Partially false,https://www.poynter.org/?ifcn_misinformation=a-table-comparing-the-number-of-deaths-by-several-other-causes-including-aids-traffic-accidents-cancer-and-abortion-and-covid-19-in-2020
"Coronavirus is not a global pandemic, and it did not affect death rates in America, according to Johns Hopkins University",Fatabyyano,2021/01/08 ,"Middle East, North Africa",FALSE,https://www.poynter.org/?ifcn_misinformation=coronavirus-is-not-a-global-pandemic-and-it-did-not-affect-death-rates-in-america-according-to-johns-hopkins-university
The number of deaths in the U.S. in 2020 was not greater than that in 2019,Science Feedback,2021/01/06 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=the-number-of-deaths-in-the-u-s-in-2020-was-not-greater-than-that-in-2019
"Two thirds of Covid deaths and 77% of the official Covid cases in Germany are without verification of the presence of the virus, the are just suspected cases, a report from hospitals shows",Correctiv,2021/01/06 ,"Germany, Austria",Mostly false,https://www.poynter.org/?ifcn_misinformation=two-thirds-of-covid-deaths-and-77-of-the-official-covid-cases-in-germany-are-without-verification-of-the-presence-of-the-virus-the-are-just-suspected-cases-a-report-from-hospitals-shows
Number of deaths in Brazil between March and May 2020 was lower than in the same period of 2019,Aos Fatos,2021/01/05 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=number-of-deaths-in-brazil-between-march-and-may-2020-was-lower-than-in-the-same-period-of-2019
World leaders are obsessed with the idea of birth rate and depopulation.,VoxCheck,2021/01/04 ,Ukraine,MISLEADING,https://www.poynter.org/?ifcn_misinformation=world-leaders-are-obsessed-with-the-idea-of-birth-rate-and-depopulation
"According to Dimitris Antoniou, a greek doctor, mRNA vaccines are a form of gene therapy and can alter human DNA causing a series of deadly medical conditions. At the same time the vaccines that are currently being used in Greece have not received any legal authorization.",Ellinika Hoaxes,2021/01/03 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=according-to-dimitris-antoniou-a-greek-doctor-mrna-vaccines-are-a-form-of-gene-therapy-and-can-alter-human-dna-causing-a-series-of-deadly-medical-conditions-at-the-same-time-the-vaccines-that-are-c
The British Health Minister announced that the new coronavirus mutation is much more deadly.,Doğruluk Payı,2020/12/30 ,"Turkey, United Kingdom",FALSE,https://www.poynter.org/?ifcn_misinformation=the-british-health-minister-announced-that-the-new-coronavirus-mutation-is-much-more-deadly
More deaths in France in 2019 than in 2020,AFP,2020/12/30 ,France,FALSE,https://www.poynter.org/?ifcn_misinformation=more-deaths-in-france-in-2019-than-in-2020
Massive death and more than one million people tested positive in the USA after receiving American vaccination. United Nations has announced to discard American vaccine and use Chinese vaccine instead.,Taiwan FactCheck Center,2020/12/30 ,Taiwan,FALSE,https://www.poynter.org/?ifcn_misinformation=massive-death-and-more-than-one-million-people-tested-positive-in-the-usa-after-receiving-american-vaccination-united-nations-has-announced-to-discard-american-vaccine-and-use-chinese-vaccine-instead
