claim,fact-check agency,time,orginated,label,poynter_url
Video shows Wuhan residents lining up for death certificates.,AFP,2020/03/03 ,China,False,https://www.poynter.org/?ifcn_misinformation=video-shows-wuhan-residents-lining-up-for-death-certificates
Patents mean deadly diseases and viruses were created or invented in a lab.,LeadStories,2020/03/03 ,United States,False,https://www.poynter.org/?ifcn_misinformation=patents-mean-deadly-diseases-and-viruses-were-created-or-invented-in-a-lab
This video shows dead coronavirus victims amassed in the Bergamo (or Brescia) hospital.,Open,2020/03/03 ,Italy,False,https://www.poynter.org/?ifcn_misinformation=this-video-shows-dead-coronavirus-victims-amassed-in-the-bergamo-or-brescia-hospital
Iran’s deputy Health Minister,Factnameh,2020/02/27 ,Iran,Misleading,https://www.poynter.org/?ifcn_misinformation=irans-deputy-health-minister-this-year-we-have-had-13200-flu-cases-which-caused-the-death-of-108-people-our-population-is-a-fourth-of-the-u-s-population-last-year-they-had-28-million-fl
China gets meat from the dead bodies of coronavirus victims and transports it to Africa.,Fatabyyano,2020/02/25 ,"Middle East, North Africa",False,https://www.poynter.org/?ifcn_misinformation=china-gets-meat-from-the-dead-bodies-of-coronavirus-victims-and-transports-it-to-africa
Author Dean Koontz foresaw the coronavirus outbreak in his book.,Teyit,2020/02/24 ,Turkey,False,https://www.poynter.org/?ifcn_misinformation=author-dean-koontz-foresaw-the-coronavirus-outbreak-in-his-book-2
Author Dean Koontz foresaw the coronavirus outbreak in his book.,Teyit,2020/02/24 ,Turkey,False,https://www.poynter.org/?ifcn_misinformation=author-dean-koontz-foresaw-the-coronavirus-outbreak-in-his-book
"The Chinese news website Tencent filters that there are more than 24,000 deaths from coronavirus.",Maldita.es,2020/02/13 ,Spain,False,https://www.poynter.org/?ifcn_misinformation=the-chinese-news-website-tencent-filters-that-there-are-more-than-24000-deaths-from-coronavirus
Silver Solution used on strains of coronavirus “totally eliminates it. Kills it. Deactivates it.”,PolitiFact,2020/02/12 ,United States,False,https://www.poynter.org/?ifcn_misinformation=silver-solution-used-on-strains-of-coronavirus-totally-eliminates-it-kills-it-deactivates-it
COVID-19 is more deadly than Ebola or HIV.,AAP FactCheck,2020/02/11 ,Australia,False,https://www.poynter.org/?ifcn_misinformation=covid-19-is-more-deadly-than-ebola-or-hiv
The new coronavirus “causes sudden death syndrome.”,PolitiFact,2020/02/08 ,United States,False,https://www.poynter.org/?ifcn_misinformation=the-new-coronavirus-causes-sudden-death-syndrome
The new coronavirus “causes sudden death syndrome.”,PolitiFact,2020/02/08 ,United States,False,https://www.poynter.org/?ifcn_misinformation=the-new-coronavirus-causes-sudden-death-syndrome-2
Cannibalism in China has caused the outbreak of a new strain of the coronavirus. A Chinese man is preparing a dead baby for consumption.,AFP,2020/02/07 ,Philippines,False,https://www.poynter.org/?ifcn_misinformation=cannibalism-in-china-has-caused-the-outbreak-of-a-new-strain-of-the-coronavirus-a-chinese-man-is-preparing-a-dead-baby-for-consumption
Tencent revealed the real number of deaths.,CheckNews,2020/02/07 ,France,Misleading,https://www.poynter.org/?ifcn_misinformation=tencent-revealed-the-real-number-of-deaths
Several posts say that coronavirus deaths are linked to 5G technology.,Observador,2020/02/06 ,Portugal,FALSE,https://www.poynter.org/?ifcn_misinformation=several-posts-say-that-coronavirus-deaths-are-linked-to-5g-technology
