claim,fact-check agency,time,orginated,label,poynter_url
Countries with more PCR testing have more deaths.,INFACT,2020/05/04 ,Japan,FALSE,https://www.poynter.org/?ifcn_misinformation=countries-with-more-pcr-testing-have-more-deaths
A Facebook post links a substance called “adrenochrome” to COVID-19 deaths.,Animal Político,2020/05/03 ,Mexico,FALSE,https://www.poynter.org/?ifcn_misinformation=a-facebook-post-links-a-substance-called-adrenochrome-to-covid-19-deaths
Sri Lanka government has hidden the details of COVID-19 spread in the country and large number of death bodies have been disposed using body bags.,FactCrescendo,2020/05/03 ,Sri Lanka,Misleading,https://www.poynter.org/?ifcn_misinformation=sri-lanka-government-has-hidden-the-details-of-covid-19-spread-in-the-country-and-large-number-of-death-bodies-have-been-disposed-using-body-bags
The number of deaths from COVID-19 is very small compared to other diseases.,VoxCheck,2020/05/03 ,Ukraine,MISLEADING,https://www.poynter.org/?ifcn_misinformation=the-number-of-deaths-from-covid-19-is-very-small-compared-to-other-diseases
Death toll among black people is higher because the viruses affect various races differently.,Myth Detector,2020/05/02 ,Georgia,misleading,https://www.poynter.org/?ifcn_misinformation=death-toll-among-black-people-is-higher-because-the-viruses-affect-various-races-differently
"COVID-19 isn’t more dangerous than seasonal flu in France, in terms of number of deaths.",AFP,2020/05/02 ,France,MISLEADING,https://www.poynter.org/?ifcn_misinformation=covid-19-isnt-more-dangerous-than-seasonal-flu-in-france-in-terms-of-number-of-deaths
Posts on social media claim the US Centers for Disease Control and Prevention (CDC) has revised down its death toll for COVID-19.,AFP,2020/05/02 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=posts-on-social-media-claim-the-us-centers-for-disease-control-and-prevention-cdc-has-revised-down-its-death-toll-for-covid-19
"CDC suddenly lost 30,000 deaths from coronavirus from its data, thus proving the virus is not as serious as it seems.",LeadStories,2020/05/02 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=cdc-suddenly-lost-30000-deaths-from-coronavirus-from-its-data-thus-proving-the-virus-is-not-as-serious-as-it-seems
First recipients of a COVID-19 test vaccine is dead.,PesaCheck,2020/04/30 ,"Kenya, United Kingdom",FALSE,https://www.poynter.org/?ifcn_misinformation=first-recipients-of-a-covid-19-test-vaccine-is-dead
"A picture of a person, allegedly, holding a coffin with only two fingers. The post says it is phisically impossible that this coffin is full, because of the weight of a dead person.",Agência Lupa,2020/04/30 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=a-picture-of-a-person-allegedly-holding-a-coffin-with-only-two-fingers-the-post-says-it-is-phisically-impossible-that-this-coffin-is-full-because-of-the-weight-of-a-dead-person
"The COVID-19 death rate has been more than 10 times higher in São Paulo, Rio de Janeiro and Ceará (states in which governors are currently opposing Jair Bolsonaro) than in Minas Gerais (whose governor supports Bolsonaro). The numbers have been inflated to make Bolsonaro look bad.",Agência Lupa,2020/04/29 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=the-covid-19-death-rate-has-been-more-than-10-times-higher-in-sao-paulo-rio-de-janeiro-and-ceara-states-in-which-governors-are-currently-opposing-jair-bolsonaro-than-in-minas-gerais-whose-governor
"The real cause of death is not pneumonia, but thrombosis. The virus is not a problem.",Open,2020/04/29 ,Italy,Misleading,https://www.poynter.org/?ifcn_misinformation=the-real-cause-of-death-is-not-pneumonia-but-thrombosis-the-virus-is-not-a-problem
The coffins with the bodies of the dead of Bergamo were not a hoax.,Open,2020/04/28 ,Italy,FALSE,https://www.poynter.org/?ifcn_misinformation=the-coffins-with-the-bodies-of-the-dead-of-bergamo-were-not-a-hoax
“So 2 doctors from Bakersfield discover that coronavirus mortality rate is 0.03%. 13x less deadly than what was previously thought! Their analysis has since been banned from YouTube.”,PolitiFact,2020/04/28 ,United States,Mostly False,https://www.poynter.org/?ifcn_misinformation=so-2-doctors-from-bakersfield-discover-that-coronavirus-mortality-rate-is-0-03-13x-less-deadly-than-what-was-previously-thought-their-analysis-has-since-been-banned-from-youtube
"Several versions of a message saying that, according to Italian doctors, the SARS-CoV-2 virus was being “badly fought against”, since the cause of death would not be pneumonia, but rather “Disseminated Intravascular Coagulation (thrombosis)”.",Maldita.es,2020/04/27 ,Spain,Misleading,https://www.poynter.org/?ifcn_misinformation=several-versions-of-a-message-saying-that-according-to-italian-doctors-the-sars-cov-2-virus-was-being-badly-fought-against-since-the-cause-of-death-would-not-be-pneumonia-but-rather-disseminate
