claim,fact-check agency,time,orginated,label,poynter_url
CDC director admits CDC’s overall total for deaths from COVID-19 is inflated.,FactCheck.org,2021/05/21 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=cdc-director-admits-cdcs-overall-total-for-deaths-from-covid-19-is-inflated
"Covid-19 is not a severe disease; vaccines linked to deaths, etc.",AFP,2021/05/20 ,United States,Missing context,https://www.poynter.org/?ifcn_misinformation=covid-19-is-not-a-severe-disease-vaccines-linked-to-deaths-etc
Preclinical trials of vaccines have been discontinued due to animals’ deaths.,VoxCheck,2021/05/20 ,Ukraine,FALSE,https://www.poynter.org/?ifcn_misinformation=preclinical-trials-of-vaccines-have-been-discontinued-due-to-animals-deaths
"The World Health Organization (WHO) has warned of 50,000 daily deaths in India as it battles a surge in Covid-19 cases.",AFP,2021/05/19 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=the-world-health-organization-who-has-warned-of-50000-daily-deaths-in-india-as-it-battles-a-surge-in-covid-19-cases
"Lauren Boebert stated on May 19, 2021 in an interview",PolitiFact,2021/05/19 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=lauren-boebert-stated-on-may-19-2021-in-an-interview-since-removing-the-mask-mandate-two-months-ago-texas-has-not-reported-a-single-covid-death-not-one
"The United States officially rises to 5,000 vaccine deaths and 14,000 in Europe.",Animal Político,2021/05/19 ,"Mexico, United States",FALSE,https://www.poynter.org/?ifcn_misinformation=the-united-states-officially-rises-to-5000-vaccine-deaths-and-14000-in-europe
South Korea had offloaded its supply of 400 thousand doses of AstraZeneca vaccine on Taiwan believing it to be inferior. Taiwan’s deal with Korea is a disgrace.,Taiwan FactCheck Center,2021/05/19 ,Taiwan,FALSE,https://www.poynter.org/?ifcn_misinformation=south-korea-had-offloaded-its-supply-of-400-thousand-doses-of-astrazeneca-vaccine-on-taiwan-believing-it-to-be-inferior-taiwans-deal-with-korea-is-a-disgrace
Vaccines against the COVID-19 cause infections and many deaths on the COVID-19 in Poland.,Demagog,2021/05/17 ,Poland,FAŁSZ,https://www.poynter.org/?ifcn_misinformation=vaccines-against-the-covid-19-cause-infections-and-many-deaths-on-the-covid-19-in-poland
"A true healing medicine must not cause any death. None. It must not cause any negative consequences. None. The media and other factors that consciously and tendentiously lie and define vaccination deaths as “coronavirus complications” and the like, in order to spread fear and thus make citizens vaccinated – I consider them a deadly weapon of criminals. They themselves are criminals.",Vistinomer,2021/05/17 ,North Macedonia,FALSE,https://www.poynter.org/?ifcn_misinformation=a-true-healing-medicine-must-not-cause-any-death-none-it-must-not-cause-any-negative-consequences-none-the-media-and-other-factors-that-consciously-and-tendentiously-lie-and-define-vaccination-dea
"According to official EU data, until 19th of May 2021 there have been 10,570 deaths and 405,259 cases of side effects from COVID-19 vaccines.",Ellinika Hoaxes,2021/05/16 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=according-to-official-eu-data-until-19th-of-may-2021-there-have-been-10570-deaths-and-405259-cases-of-side-effects-from-covid-19-vaccines
Swiss death toll rose after country stopped using hydroxychloroquine to treat patients with COVID-19.,Estadão Verifica,2021/05/14 ,"Brazil, France",FALSE,https://www.poynter.org/?ifcn_misinformation=swiss-death-toll-rose-after-country-stopped-using-hydroxychloroquine-to-treat-patients-with-covid-19
Covid-19 vaccines will leave people exposed to deadly illness during the next cold and flu season.,AFP,2021/05/14 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=covid-19-vaccines-will-leave-people-exposed-to-deadly-illness-during-the-next-cold-and-flu-season
Multiple claims,Myth Detector,2021/05/14 ,Georgia,FALSE,https://www.poynter.org/?ifcn_misinformation=multiple-claims-1-coronavirus-pandemic-is-actually-a-conspiracy-to-subjugate-people-whereas-the-reports-on-the-death-rate-of-the-coronavirus-are-fake-and-exaggerated-2-introducing-quarantine-meas
Ventilation equipment is artificial death,StopFake.org,2021/05/14 ,Ukraine,Fake,https://www.poynter.org/?ifcn_misinformation=ventilation-equipment-is-artificial-death
"Supreme Court of Canada agreed to hear a case accusing Prime Minister Justin Trudeau, Ontario Premier Doug Ford and other civic officials of “crimes against humanity” for implementing public health measures against Covid-19.",AFP,2021/05/13 ,Canada,FALSE,https://www.poynter.org/?ifcn_misinformation=supreme-court-of-canada-agreed-to-hear-a-case-accusing-prime-minister-justin-trudeau-ontario-premier-doug-ford-and-other-civic-officials-of-crimes-against-humanity-for-implementing
