claim,fact-check agency,time,orginated,label,poynter_url
Massacre in Gibraltar! “53 dead in the first 10 days of the Pfizer Vaccine!”,Vistinomer,2021/02/05 ,North Macedonia,FALSE,https://www.poynter.org/?ifcn_misinformation=massacre-in-gibraltar-53-dead-in-the-first-10-days-of-the-pfizer-vaccine
The SARS-Cov-2 strain found in Manaus is 70% more deadly than other strains and vaccines are not effective against it,Agência Lupa,2021/02/05 ,Brazil,Unsustainable,https://www.poynter.org/?ifcn_misinformation=the-sars-cov-2-strain-found-in-manaus-is-70-more-deadly-than-other-strains-and-vaccines-are-not-effective-against-it
The coronavirus is harmless. It has caused deaths due to wrong medical protocols.,Colombiacheck,2021/02/05 ,Colombia,FALSE,https://www.poynter.org/?ifcn_misinformation=the-coronavirus-is-harmless-it-has-caused-deaths-due-to-wrong-medical-protocols
53 deaths have occurred due to the COVID-19 vaccine in Gibraltar,Newtral.es,2021/02/02 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=53-deaths-have-occurred-due-to-the-covid-19-vaccine-in-gibraltar
No deaths from COVID-19 in Israel because of a cure for the virus made with lemon and baking soda,Newtral.es,2021/02/02 ,"Spain, Israel",FALSE,https://www.poynter.org/?ifcn_misinformation=no-deaths-from-covid-19-in-israel-because-of-a-cure-for-the-virus-made-with-lemon-and-baking-soda
2000 Italian doctors filed lawsuits against the WHO in the European Court of Human Rights (ECHR) because treatment of patients under the guidelines received from the WHO had been causing mass deaths,Myth Detector,2021/02/02 ,Georgia,NO EVIDENCE,https://www.poynter.org/?ifcn_misinformation=2000-italian-doctors-filed-lawsuits-against-the-who-in-the-european-court-of-human-rights-echr-because-treatment-of-patients-under-the-guidelines-received-from-the-who-had-been-causing-mass-deaths
"Corona vaccine kills more people than the disease itself, The death rate due to the vaccine is higher than the death rate from the Corona virus",Fatabyyano,2021/02/02 ,"Middle East, North Africa",Misleading,https://www.poynter.org/?ifcn_misinformation=corona-vaccine-kills-more-people-than-the-disease-itself-the-death-rate-due-to-the-vaccine-is-higher-than-the-death-rate-from-the-corona-virus
The PHI institute proved that the CDC artificially inflated the death count from COVID-19 by a factor of 16.,Ellinika Hoaxes,2021/02/02 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=the-phi-institute-proved-that-the-cdc-artificially-inflated-the-death-count-from-covid-19-by-a-factor-of-16
The Greek Statistics Agency manipulated the number of deaths for 2019 in order to re-enforce the fake idea that the COVID-19 pandemic is an actual threat.,Ellinika Hoaxes,2021/02/01 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=the-greek-statistics-agency-manipulated-the-number-of-deaths-for-2019-in-order-to-re-enforce-the-fake-idea-that-the-covid-19-pandemic-is-an-actual-threat
Pfizer and BioNTech cut their COVID-19 vaccine deliveries to the EU on January 22 because their vaccine has caused seizures or death.,Rappler,2021/02/01 ,Philippines,FALSE,https://www.poynter.org/?ifcn_misinformation=pfizer-and-biontech-cut-their-covid-19-vaccine-deliveries-to-the-eu-on-january-22-because-their-vaccine-has-caused-seizures-or-death
The French government is turning a blind eye to the link between the vaccine and the death facts,FactCheck Georgia,2021/02/01 ,Georgia,FALSE,https://www.poynter.org/?ifcn_misinformation=the-french-government-is-turning-a-blind-eye-to-the-link-between-the-vaccine-and-the-death-facts
Having a vaccine only makes sense if we don’t have a treatment for a deadly disease; COVID-19 has a survival rate of 99.991%,Science Feedback,2021/02/01 ,United States,Misleading,https://www.poynter.org/?ifcn_misinformation=having-a-vaccine-only-makes-sense-if-we-dont-have-a-treatment-for-a-deadly-disease-covid-19-has-a-survival-rate-of-99-991
FFP2 masks are potentially deadly; government is forcing people to wear them.,Correctiv,2021/01/30 ,Germany,Partly false,https://www.poynter.org/?ifcn_misinformation=ffp2-masks-are-potentially-deadly-government-is-forcing-people-to-wear-them
Doctors everywhere falsify death certificates to include covid-19 as they earn money that way.,Correctiv,2021/01/29 ,Germany,Unproven,https://www.poynter.org/?ifcn_misinformation=doctors-everywhere-falsify-death-certificates-to-include-covid-19-as-they-earn-money-that-way
There is an “established link” beteween vaccinaton and higher death rate in Gibraltar,AFP,2021/01/28 ,France,FALSE,https://www.poynter.org/?ifcn_misinformation=there-is-an-established-link-beteween-vaccinaton-and-higher-death-rate-in-gibraltar
