claim,fact-check agency,time,orginated,label,poynter_url
The official cause of death of a motorcyclist’s accident was coronavirus,Demagog,2020/08/14 ,Poland,FALSE,https://www.poynter.org/?ifcn_misinformation=the-official-cause-of-death-of-a-motorcyclists-accident-was-coronavirus
"There was not 100,000 deaths of COVID-19 in Brazil; the pandemic is a fraud",Estadão Verifica,2020/08/14 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=there-was-not-100000-deaths-of-covid-19-in-brazil-the-pandemic-is-a-fraud
Colombia registered the highest deah toll per million inhabitants related to the pandemic.,Colombiacheck,2020/08/13 ,Colombia,MISLEADING,https://www.poynter.org/?ifcn_misinformation=colombia-registered-the-highest-deah-toll-per-million-inhabitants-related-to-the-pandemic
"July 2020 has less deaths than July 2019, despite pandemic",Estadão Verifica,2020/08/13 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=july-2020-has-less-deaths-than-july-2019-despite-pandemic
Deaths from breathing failure and pneumonia are registered as COVID-19,Estadão Verifica,2020/08/13 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=deaths-from-breathing-failure-and-pneumonia-are-registered-as-covid-19
Brazilian Civil Registry data shows that deaths by COVID-19 in the country don’t exceed 25 thousand,Aos Fatos,2020/08/12 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=brazilian-civil-registry-data-shows-that-deaths-by-covid-19-in-the-country-dont-exceed-25-thousand
Brazilian governors decreed that all deaths on public hospitals should be registered as COVID-19.,Agência Lupa,2020/08/12 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=brazilian-governors-decreed-that-all-deaths-on-public-hospitals-should-be-registered-as-covid-19
Deaths from pneumonia and respiratory failure are being counted as COVID-19 in Brazil,Aos Fatos,2020/08/12 ,Brazil,MISLEADING,https://www.poynter.org/?ifcn_misinformation=deaths-from-pneumonia-and-respiratory-failure-are-being-counted-as-covid-19-in-brazil
"Porto Feliza a Municipality in Brazil, has population of 50 thousand and, did not have a single death for Covid-19 because its population is receiving hydroxichloroquine",Agência Lupa,2020/08/11 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=porto-feliza-a-municipality-in-brazil-has-population-of-50-thousand-and-did-not-have-a-single-death-for-covid-19-because-its-population-is-receiving-hydroxichloroquine
Not a single death from COVID-19 has been registered amongst people working in politics,AFP,2020/08/11 ,"France, Belgium",FALSE,https://www.poynter.org/?ifcn_misinformation=not-a-single-death-from-covid-19-has-been-registered-amongst-people-working-in-politics
"All deaths by respiratory failure and pneumonia are being registered as COVID-19, according to the Civil Registry website.",Agência Lupa,2020/08/10 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=all-deaths-by-respiratory-failure-and-pneumonia-are-being-registered-as-covid-19-according-to-the-civil-registry-website
A claim states that Singapore has “banned” people from buying fruit and vegetables imported from the U.S over fears it could be contaminated with the novel coronavirus. The post goes on to allege the U.S has been transporting products in trucks that also carry “dead bodies infected with COVID-19”.,AFP,2020/08/10 ,"Thailand, Singapore",Misleading,https://www.poynter.org/?ifcn_misinformation=a-claim-states-that-singapore-has-banned-people-from-buying-fruit-and-vegetables-imported-from-the-u-s-over-fears-it-could-be-contaminated-with-the-novel-coronavirus-the-post-goes-o
Brazilian Civil Registry shows that death growth slowed in July 2020,Aos Fatos,2020/08/10 ,Brazil,MISLEADING,https://www.poynter.org/?ifcn_misinformation=brazilian-civil-registry-shows-that-death-growth-slowed-in-july-2020
The dean of the College of Biologists of Euskadi states that there are a lot of PCR false positives and asymptomatic don’t spread coronavirus.,Maldita.es,2020/08/10 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=the-dean-of-the-college-of-biologists-of-euskadi-states-that-there-are-a-lot-of-pcr-false-positives-and-asymptomatic-dont-spread-coronavirus
Would you take a vaccine with a 33% death rate to feel safe from a virus with a 0.06% death rate?,Science Feedback,2020/08/09 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=would-you-take-a-vaccine-with-a-33-death-rate-to-feel-safe-from-a-virus-with-a-0-06-death-rate
