claim,fact-check agency,time,orginated,label,poynter_url
Water boiled with garlic cures coronavirus.,Agência Lupa,2020/03/17 ,Brazil,False,https://www.poynter.org/?ifcn_misinformation=water-boiled-with-garlic-cures-coronavirus
Thailand CDC announces green chiretta can cure coronavirus.,FactCrescendo,2020/03/17 ,Myanmar,False,https://www.poynter.org/?ifcn_misinformation=thailand-cdc-announces-green-chiretta-can-cure-coronavirus
Coronil drops can help cure coronavirus.,The Quint,2020/03/17 ,India,Misleading,https://www.poynter.org/?ifcn_misinformation=coronil-drops-can-help-cure-coronavirus-2
Traditional cures and self-checks for the coronavirus.,FactCrescendo,2020/03/17 ,Sri Lanka,False,https://www.poynter.org/?ifcn_misinformation=traditional-cures-and-self-checks-for-the-coronavirus
Coronil drops can help cure coronavirus.,The Quint,2020/03/17 ,India,Misleading,https://www.poynter.org/?ifcn_misinformation=coronil-drops-can-help-cure-coronavirus
Cuba discovered a serum that cures COVID-19.,Chequeado,2020/03/17 ,Argentina,False,https://www.poynter.org/?ifcn_misinformation=cuba-discovered-a-serum-that-cures-covid-19
"A “Spanish biological researcher” says “You give the footballer 1 million euros a month and a biological researcher 1,800 euros per month, and you are now looking for a coronavirus treatment. Go to Cristiano Ronaldo or Messi and they will get you a cure.” A quote published with a photo of this so-called “Spanish biological researcher.”",AFP,2020/03/17 ,"Spain, France, United Kingdom, Poland",False,https://www.poynter.org/?ifcn_misinformation=a-spanish-biological-researcher-says-you-give-the-footballer-1-million-euros-a-month-and-a-biological-researcher-1800-euros-per-month-and-you-are-now-looking-for-a-coronavirus-treatment-go-to-cr
An image shows a “Spanish biologist” who claimed that footballers who earn millions of euros should research the cure for coronavirus.,Demagog,2020/03/17 ,Poland,False,https://www.poynter.org/?ifcn_misinformation=an-image-shows-a-spanish-biologist-who-claimed-that-footballers-who-earn-millions-of-euros-should-research-the-cure-for-coronavirus
Nancy Pelosi tried to secure taxpayer funds for abortion through a coronavirus bill.,MediaWise,2020/03/17 ,United States,Misleading,https://www.poynter.org/?ifcn_misinformation=nancy-pelosi-tried-to-secure-taxpayer-funds-for-abortion-through-a-coronavirus-bill
Harvard scientists explain,Vistinomer,2020/03/17 ,"North Macedonia, Albania",False,https://www.poynter.org/?ifcn_misinformation=harvard-scientists-explain-heres-how-you-can-cure-the-coronavirus-yourself-before-the-vaccine-comes-out-and-a-whatsapp-message-states-the-ministry-of-health-has-approved-an-immediate-350-euro-rewa
Hot bathes and sweating treatments can cure the disease; the virus dies at 40 degrees and the immune system gets stronger with every degree of fever.,Correctiv,2020/03/16 ,Germany,Mostly false,https://www.poynter.org/?ifcn_misinformation=hot-bathes-and-sweating-treatments-can-cure-the-disease-the-virus-dies-at-40-degrees-and-the-immune-system-gets-stronger-with-every-degree-of-fever
President Trump,Misbar,2020/03/16 ,"Middle East, North Africa",False,https://www.poynter.org/?ifcn_misinformation=president-trump-swiss-company-roche-discovered-a-cure-for-coronavirus
Israel has found a cure and a vaccine for coronavirus.,Aos Fatos,2020/03/16 ,Brazil,False,https://www.poynter.org/?ifcn_misinformation=israel-has-found-a-cure-and-a-vaccine-for-coronavirus
Claims of cures for COVID-19 from multiple countries.,FactCrescendo,2020/03/16 ,Sri Lanka,Partially false,https://www.poynter.org/?ifcn_misinformation=claims-of-cures-for-covid-19-from-multiple-countries-2
The claim that there is a cure from the new coronavirus. The name of the drug is decametoxine.,VoxCheck,2020/03/15 ,Ukraine,False,https://www.poynter.org/?ifcn_misinformation=the-claim-that-there-is-a-cure-from-the-new-coronavirus-the-name-of-the-drug-is-decametoxine
