claim,fact-check agency,time,orginated,label,poynter_url
Every election year has a disease; coronavirus has a contagion factor of 2 and a cure rate of 99.7% for those under 50 it infects.,Science Feedback,2020/03/05 ,United States,False,https://www.poynter.org/?ifcn_misinformation=every-election-year-has-a-disease-coronavirus-has-a-contagion-factor-of-2-and-a-cure-rate-of-99-7-for-those-under-50-it-infects
Cow dung and cow urine can cure coronavirus.,The Quint,2020/03/04 ,India,Misleading,https://www.poynter.org/?ifcn_misinformation=cow-dung-and-cow-urine-can-cure-coronavirus
Cow dung and cow urine can cure coronavirus.,The Quint,2020/03/04 ,India,Misleading,https://www.poynter.org/?ifcn_misinformation=cow-dung-and-cow-urine-can-cure-coronavirus-2
European Health Organization (EHO) announced that eating beef can cure coronavirus.,Factly,2020/03/04 ,India,False,https://www.poynter.org/?ifcn_misinformation=european-health-organization-eho-announced-that-eating-beef-can-cure-coronavirus
A study published by two Chinese research institutions suggest that human semen can cure COVID-19.,Taiwan FactCheck Center,2020/03/03 ,Taiwan,False,https://www.poynter.org/?ifcn_misinformation=a-study-published-by-two-chinese-research-institutions-suggest-that-human-semen-can-cure-covid-19
A study published by two Chinese research institutions suggest that human semen can cure COVID-19.,Taiwan FactCheck Center,2020/03/03 ,Taiwan,False,https://www.poynter.org/?ifcn_misinformation=a-study-published-by-two-chinese-research-institutions-suggest-that-human-semen-can-cure-covid-19-2
Claims that drinking boiled garlic water cures novel coronavirus.,AFP,2020/03/03 ,Africa,False,https://www.poynter.org/?ifcn_misinformation=claims-that-drinking-boiled-garlic-water-cures-novel-coronavirus
Azuay governor in Ecuador seeks the cure of COVID-19 in indigenous medicine.,Ecuador Chequea,2020/03/03 ,Ecuador,False,https://www.poynter.org/?ifcn_misinformation=azuay-governor-in-ecuador-seeks-the-cure-of-covid-19-in-indigenous-medicine
Vitamin C can cure COVID-19.,JTBC news,2020/03/03 ,South Korea,Misleading,https://www.poynter.org/?ifcn_misinformation=vitamin-c-can-cure-covid-19
Images of BJP men smearing cow dung on one another after their party leader Suman Haripriya said cow dung may help cure coronavirus.,Factly,2020/03/03 ,India,False,https://www.poynter.org/?ifcn_misinformation=images-of-bjp-men-smearing-cow-dung-on-one-another-after-their-party-leader-suman-haripriya-said-cow-dung-may-help-cure-coronavirus
Plant-based cure for coronavirus discovered in Iran.,AFP,2020/03/02 ,France,False,https://www.poynter.org/?ifcn_misinformation=plant-based-cure-for-coronavirus-discovered-in-iran
Multiple videos claim garlic and onions can prevent and cure infection from the novel coronavirus.,AFP,2020/03/02 ,Nigeria,False,https://www.poynter.org/?ifcn_misinformation=multiple-videos-claim-garlic-and-onions-can-prevent-and-cure-infection-from-the-novel-coronavirus
Twitter users said Adutwumwaa Bitters cure coronavirus.,Dubawa,2020/03/02 ,Ghana,False,https://www.poynter.org/?ifcn_misinformation=twitter-users-said-adutwumwaa-bitters-cure-coronavirus
Chloroquine cures COVID-19.,AFP,2020/02/27 ,France,Misleading,https://www.poynter.org/?ifcn_misinformation=chloroquine-cures-covid-19-2
A “letter” from an uncle in Wuhan claims COVID-19 can be cured with hot water.,15min.lt,2020/02/26 ,Lithuania,False,https://www.poynter.org/?ifcn_misinformation=a-letter-from-an-uncle-in-wuhan-claims-covid-19-can-be-cured-with-hot-water
