claim,fact-check agency,time,orginated,label,poynter_url
Vitamin C intravenous drip can cure COVID-19,AAP FactCheck,2020/10/28 ,Australia,FALSE,https://www.poynter.org/?ifcn_misinformation=vitamin-c-intravenous-drip-can-cure-covid-19
A german neurophysiologist says that masks cause neurodegenerative diseases that have no cure.,Newtral.es,2020/10/27 ,"Spain, Germany",FALSE,https://www.poynter.org/?ifcn_misinformation=a-german-neurophysiologist-says-that-masks-cause-neurodegenerative-diseases-that-have-no-cure
Ingesting hydrogen peroxide will cure COVID-19,FactCheck Georgia,2020/10/25 ,Georgia,FALSE,https://www.poynter.org/?ifcn_misinformation=ingesting-hydrogen-peroxide-will-cure-covid-19
"The US Federal Bureau of Investigation (FBI) has arrested a Boston University professor over links to the University of China and Wuhan Research Laboratory. This fact proves that the virus was artificially created by the Chinese government and is part of a biological attack, which is also confirmed by a US investigation. The arrested professor in his confession states that the coronavirus can be cured by inhalation.",Myth Detector,2020/10/24 ,Georgia,FALSE,https://www.poynter.org/?ifcn_misinformation=the-us-federal-bureau-of-investigation-fbi-has-arrested-a-boston-university-professor-over-links-to-the-university-of-china-and-wuhan-research-laboratory-this-fact-proves-that-the-virus-was-artific
A famous colombian scientist says that natural ingredients can cure the virus,La Silla Vacía,2020/10/23 ,Colombia,FALSE,https://www.poynter.org/?ifcn_misinformation=a-famous-colombian-scientist-says-that-natural-ingredients-can-cure-the-virus
Infusions and nebulizations of different herbs cure the new coronavirus,Chequeado,2020/10/20 ,Argentina,MISLEADING,https://www.poynter.org/?ifcn_misinformation=infusions-and-nebulizations-of-different-herbs-cure-the-new-coronavirus
Corona kashyam decoction can cure covid infection within 24 hours,Vishvas News,2020/10/20 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=corona-kashyam-decoction-can-cure-covid-infection-within-24-hours
Vitamin supplements prevent and cure coronavirus,Vishvas News,2020/10/16 ,India,MIsleading,https://www.poynter.org/?ifcn_misinformation=vitamin-supplements-prevent-and-cure-coronavirus
Home remedies mentioned in the post can cure coronavirus,Vishvas News,2020/10/14 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=home-remedies-mentioned-in-the-post-can-cure-coronavirus-2
Ecuador found the cure for covid-19,AFP,2020/10/13 ,Colombia,FALSE,https://www.poynter.org/?ifcn_misinformation=ecuador-found-the-cure-for-covid-19
Home remedies mentioned in the post can cure coronavirus,Vishvas News,2020/10/12 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=home-remedies-mentioned-in-the-post-can-cure-coronavirus
Proper oral hygiene cures COVID-19,Newtral.es,2020/10/09 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=proper-oral-hygiene-cures-covid-19
Adding pepper to your food will cure coronavirus,Vishvas News,2020/10/05 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=adding-pepper-to-your-food-will-cure-coronavirus
Adding pepper to your food will cure coronavirus,Vishvas News,2020/10/05 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=adding-pepper-to-your-food-will-cure-coronavirus-2
"Nobody should have recovered from COVID-19 if it had no cure, and a person should be dead within 24 hours of infection if the virus was deadly.",VERA Files,2020/09/24 ,Philippines,FALSE,https://www.poynter.org/?ifcn_misinformation=nobody-should-have-recovered-from-covid-19-if-it-had-no-cure-and-a-person-should-be-dead-within-24-hours-of-infection-if-the-virus-was-deadly
