claim,fact-check agency,time,orginated,label,poynter_url
A Bulgarian doctor claims that alcohol helps cure or prevent the new coronavirus.,Vistinomer,2020/02/06 ,North Macedonia,False,https://www.poynter.org/?ifcn_misinformation=a-bulgarian-doctor-claims-that-alcohol-helps-cure-or-prevent-the-new-coronavirus
The new coronavirus can be cured with a bowl of garlic water.,Observador,2020/02/06 ,Portugal,FALSE,https://www.poynter.org/?ifcn_misinformation=the-new-coronavirus-can-be-cured-with-a-bowl-of-garlic-water
Cow urine cures coronavirus.,Newschecker,2020/02/05 ,India,Misleading,https://www.poynter.org/?ifcn_misinformation=cow-urine-cures-coronavirus
The novel coronavirus can be cured by one bowl of freshly boiled garlic.,Factly,2020/02/05 ,India,False,https://www.poynter.org/?ifcn_misinformation=the-novel-coronavirus-can-be-cured-by-one-bowl-of-freshly-boiled-garlic-2
Drinking boiled garlic water cures novel coronavirus.,AFP,2020/02/05 ,Pakistan,FALSE,https://www.poynter.org/?ifcn_misinformation=drinking-boiled-garlic-water-cures-novel-coronavirus
A Sri Lankan girl finds a cure for coronavirus.,FactCrescendo,2020/02/04 ,Sri Lanka,False,https://www.poynter.org/?ifcn_misinformation=a-sri-lankan-girl-finds-a-cure-for-coronavirus
"Chlorine dioxide kits sold online under various “MMS” names — Miracle Mineral Solution, Miracle Mineral Supplement, Master Mineral Solution — will cure the coronavirus.",FactCheck.org,2020/02/03 ,United States,False,https://www.poynter.org/?ifcn_misinformation=chlorine-dioxide-kits-sold-online-under-various-mms-names-miracle-mineral-solution-miracle-mineral-supplement-master-mineral-solution-will-cure-the-coronavirus
Garlic water can cure the new coronavirus.,The Quint,2020/02/03 ,India,Misleading,https://www.poynter.org/?ifcn_misinformation=garlic-water-can-cure-the-new-coronavirus
Garlic soup can cure the coronavirus.,Newschecker,2020/02/03 ,India,False,https://www.poynter.org/?ifcn_misinformation=garlic-soup-can-cure-the-coronavirus
The new coronavirus can be cured by drinking one bowl of freshly boiled garlic water.,FactCheck.org,2020/02/03 ,United States,False,https://www.poynter.org/?ifcn_misinformation=the-new-coronavirus-can-be-cured-by-drinking-one-bowl-of-freshly-boiled-garlic-water-2
Chinese politician Xi Jinping has said that Chinese scientists found a cure for the coronavirus in cow urine.,Factly,2020/02/03 ,India,False,https://www.poynter.org/?ifcn_misinformation=chinese-politician-xi-jinping-has-said-that-chinese-scientists-found-a-cure-for-the-coronavirus-in-cow-urine
There is an herbal cure for COVID-19.,AFP,2020/02/03 ,Sri Lanka,Misleading,https://www.poynter.org/?ifcn_misinformation=there-is-an-herbal-cure-for-covid-19
The novel coronavirus can be cured by one bowl of freshly boiled garlic.,Factly,2020/02/02 ,India,False,https://www.poynter.org/?ifcn_misinformation=the-novel-coronavirus-can-be-cured-by-one-bowl-of-freshly-boiled-garlic
Boiled ginger can cure the novel coronavirus.,AFP,2020/02/01 ,Philippines,Misleading,https://www.poynter.org/?ifcn_misinformation=boiled-ginger-can-cure-the-novel-coronavirus
Fennel tea can cure the coronavirus.,AFP,2020/01/31 ,Brazil,False,https://www.poynter.org/?ifcn_misinformation=fennel-tea-can-cure-the-coronavirus
