claim,fact-check agency,time,orginated,label,poynter_url
Drinking tea can help cure COVID-19.,TheJournal.ie,2020/03/25 ,Ireland,False,https://www.poynter.org/?ifcn_misinformation=drinking-tea-can-help-cure-covid-19
Chlorine dioxide cures the coronavirus.,Newtral.es,2020/03/25 ,"Spain, Peru, United States, Mexico",False,https://www.poynter.org/?ifcn_misinformation=chlorine-dioxide-cures-the-coronavirus
Compounds in tea can help cure COVID-19.,PesaCheck,2020/03/25 ,Kenya,False,https://www.poynter.org/?ifcn_misinformation=compounds-in-tea-can-help-cure-covid-19
Nevada Governor Steve Sisolak “has banned the use of an anti-malaria drug that might help cure coronavirus.”,PolitiFact,2020/03/25 ,United States,Mostly false,https://www.poynter.org/?ifcn_misinformation=nevada-governor-steve-sisolak-has-banned-the-use-of-an-anti-malaria-drug-that-might-help-cure-coronavirus
"Bitter gourd juice can cure novel coronavirus, as per Bihar Health Department in India.",Vishvas News,2020/03/25 ,India,False,https://www.poynter.org/?ifcn_misinformation=bitter-gourd-juice-can-cure-novel-coronavirus-as-per-bihar-health-department-in-india
Coronavirus has a pH level of 5.5 to 8.5 and can be prevented and cured by eating alkaline foods.,AfricaCheck,2020/03/25 ,Nigeria,False,https://www.poynter.org/?ifcn_misinformation=coronavirus-has-a-ph-level-of-5-5-to-8-5-and-can-be-prevented-and-cured-by-eating-alkaline-foods
Muammar Gaddafi predicted “they” will create viruses and sell us the cures.,Faktograf,2020/03/24 ,Croatia,False,https://www.poynter.org/?ifcn_misinformation=muammar-gaddafi-predicted-they-will-create-viruses-and-sell-us-the-cures
The new hantavirus is a deadly problem emerging in China. There is no cure for it.,VoxCheck,2020/03/24 ,Ukraine,Misleading,https://www.poynter.org/?ifcn_misinformation=the-new-hantavirus-is-a-deadly-problem-emerging-in-china-there-is-no-cure-for-it
Tea can cure coronavirus.,The Quint,2020/03/24 ,India,Misleading,https://www.poynter.org/?ifcn_misinformation=tea-can-cure-coronavirus
"Gargling with hot water cures coronavirus, says a doctor from Mumbai’s COVID-19 hospital.",BOOM FactCheck,2020/03/24 ,India,False,https://www.poynter.org/?ifcn_misinformation=gargling-with-hot-water-cures-coronavirus-says-a-doctor-from-mumbais-covid-19-hospital
New vaccine can help cure coronavirus in three hours.,The Quint,2020/03/24 ,India,False,https://www.poynter.org/?ifcn_misinformation=new-vaccine-can-help-cure-coronavirus-in-three-hours
"Tea can cure COVID-19 patients, as suggested by China’s whistleblower doctor Li Wenliang. The news was published by CNN.",India Today,2020/03/24 ,India,Mostly false,https://www.poynter.org/?ifcn_misinformation=tea-can-cure-covid-19-patients-as-suggested-by-chinas-whistleblower-doctor-li-wenliang-the-news-was-published-by-cnn
President Donald Trump will announce that a scientist “finally found a vaccine to cure coronavirus.”,PolitiFact,2020/03/24 ,United States,False,https://www.poynter.org/?ifcn_misinformation=president-donald-trump-will-announce-that-a-scientist-finally-found-a-vaccine-to-cure-coronavirus
A new vaccine to cure coronavirus has been developed by U.S. scientists.,Vishvas News,2020/03/24 ,India,False,https://www.poynter.org/?ifcn_misinformation=a-new-vaccine-to-cure-coronavirus-has-been-developed-by-u-s-scientists
Controversies surrounding chloroquine suggest health authorities approved it as a cure for COVID-19.,Dubawa,2020/03/24 ,Nigeria,False,https://www.poynter.org/?ifcn_misinformation=controversies-surrounding-chloroquine-suggest-health-authorities-approved-it-as-a-cure-for-covid-19
