claim,fact-check agency,time,orginated,label,poynter_url
Vitamin C can cure coronavirus.,Détecteur de rumeurs,2020/04/24 ,"Canada, France",FALSE,https://www.poynter.org/?ifcn_misinformation=vitamin-c-can-cure-coronavirus
"Very hot steam, inhaled from the kettle four times a day, and hot tea, also taken four times a day, can cure COVID-19, according to an Indian man living in Wuhan, China.",AfricaCheck,2020/04/24 ,"South Africa, Africa",FALSE,https://www.poynter.org/?ifcn_misinformation=very-hot-steam-inhaled-from-the-kettle-four-times-a-day-and-hot-tea-also-taken-four-times-a-day-can-cure-covid-19-according-to-an-indian-man-living-in-wuhan-china
Bathing in bleach cures COVID-19.,Factcheck.Vlaanderen,2020/04/24 ,Belgium,FALSE,https://www.poynter.org/?ifcn_misinformation=bathing-in-bleach-cures-covid-19
World renown Professor Giulio Tarro discovered a cure that kills SARS-CoV-2 within 48 hours. This discovery can end the pandemic.,Ellinika Hoaxes,2020/04/24 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=world-renown-professor-giulio-tarro-discovered-a-cure-that-kills-sars-cov-2-within-48-hours-this-discovery-can-end-the-pandemic
A video posted on Facebook claiming that chloroquine and azithromycin are proven cures of COVID-19,PesaCheck,2020/04/23 ,"Tanzania, United States, Kenya",FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-posted-on-facebook-claiming-that-chloroquine-and-azithromycin-are-proven-cures-of-covid-19
"COVID-19 can be cured with an infusion of garlic, lemon and jambu (an Amazonian herb, used as a spice in Northern Brazil).",Agência Lupa,2020/04/23 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=covid-19-can-be-cured-with-an-infusion-of-garlic-lemon-and-jambu-an-amazonian-herb-used-as-a-spice-in-northern-brazil
"COVID-19 is going away. On April 21, the number of new cured cases was larger than the number of new cases, which means the total number of active cases is diminishing.",Agência Lupa,2020/04/23 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=covid-19-is-going-away-on-april-21-the-number-of-new-cured-cases-was-larger-than-the-number-of-new-cases-which-means-the-total-number-of-active-cases-is-diminishing
"Doctors say treating patients with corticosteroids is the official cure for coronavirus. During an interview for a television channel, a doctor from São Paulo describes the procedure.",Estadão Verifica,2020/04/22 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=doctors-say-treating-patients-with-corticosteroids-is-the-official-cure-for-coronavirus-during-an-interview-for-a-television-channel-a-doctor-from-sao-paulo-describes-the-procedure
"A Whatsapp message claims COVID-19 doesn’t cause pneumonia but thrombosis, and antiobiotics or Aspirin can help or cure the disease.",Correctiv,2020/04/22 ,Germany,mostly false,https://www.poynter.org/?ifcn_misinformation=a-whatsapp-message-claims-covid-19-doesnt-cause-pneumonia-but-thrombosis-and-antiobiotics-or-aspirin-can-help-or-cure-the-disease
Tunisian researcher speaking in this video found a cure against COVID-19.,AFP,2020/04/22 ,Tunisia,FALSE,https://www.poynter.org/?ifcn_misinformation=tunisian-researcher-speaking-in-this-video-found-a-cure-against-covid-19
"COVID-19 is a thrombosis and is cured with anticoagulant, anti-inflammatory or antibiotic aspirin.",Newtral.es,2020/04/22 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=covid-19-is-a-thrombosis-and-is-cured-with-anticoagulant-anti-inflammatory-or-antibiotic-aspirin
"Consuming a cup of brown sugar per day can cure COVID-19, the disease caused by the novel coronavirus.",Rappler,2020/04/21 ,Philippines,FALSE,https://www.poynter.org/?ifcn_misinformation=consuming-a-cup-of-brown-sugar-per-day-can-cure-covid-19-the-disease-caused-by-the-novel-coronavirus
"A video has been viewed more than 100,000 times in multiple posts on YouTube, Facebook and Twitter in which a purported Philippine doctor claims ingesting semen could cure a patient infected with the novel coronavirus, citing a 2016 scientific study.",AFP,2020/04/21 ,Philippines,FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-has-been-viewed-more-than-100000-times-in-multiple-posts-on-youtube-facebook-and-twitter-in-which-a-purported-philippine-doctor-claims-ingesting-semen-could-cure-a-patient-infected-with-the
"Clean semen is a cure for COVID-19, the disease caused by the novel coronavirus.",Rappler,2020/04/21 ,Philippines,FALSE,https://www.poynter.org/?ifcn_misinformation=clean-semen-is-a-cure-for-covid-19-the-disease-caused-by-the-novel-coronavirus
Gargling with bleach can cure coronavirus caused by eating Chinese food.,Vishvas News,2020/04/20 ,India,False,https://www.poynter.org/?ifcn_misinformation=gargling-with-bleach-can-cure-coronavirus-caused-by-eating-chinese-food
