claim,fact-check agency,time,orginated,label,poynter_url
Myanmar traditional medicine can cure the coronavirus.,BOOM FactCheck,2020/05/18 ,Myanmar,FALSE,https://www.poynter.org/?ifcn_misinformation=myanmar-traditional-medicine-can-cure-the-coronavirus
Argentinian doctor Mühlberger has the cure against COVID-19,Chequeado,2020/05/17 ,Argentina,FALSE,https://www.poynter.org/?ifcn_misinformation=argentinian-doctor-muhlberger-has-the-cure-against-covid-19
Chlorine dioxide cures COVID-19.,Verificado,2020/05/17 ,Mexico,FALSE,https://www.poynter.org/?ifcn_misinformation=chlorine-dioxide-cures-covid-19
"A Facebook post shared thousands of times claims that Russian President Vladimir Putin ordered Covid-Organics, a herbal drink touted by Madagascan President Andry Rajoelina as a cure for COVID-19. The post claims that Putin urged Africans “not to follow” the World Health Organization (WHO), which has warned against untested traditional medicine.",AFP,2020/05/17 ,"Madagascar, Africa",FALSE,https://www.poynter.org/?ifcn_misinformation=a-facebook-post-shared-thousands-of-times-claims-that-russian-president-vladimir-putin-ordered-covid-organics-a-herbal-drink-touted-by-madagascan-president-andry-rajoelina-as-a-cure-for-covid-19-the
Some websites claimed that Madagascar quit the World Health Organisation (WHO) and has been offered 20 million dollars by the WHO to kill their Covid-Organics cure.,Dubawa,2020/05/16 ,Ghana,FALSE,https://www.poynter.org/?ifcn_misinformation=some-websites-claimed-that-madagascar-quit-the-world-health-organisation-who-and-has-been-offered-20-million-dollars-by-the-who-to-kill-their-covid-organics-cure
"A video shows healthcare professionals in a hospital displaying hopeful message. The caption states the video was filmed at Moinhos de Vento Hospital, in Porto Alegre, Brazil, and that they managed to cure all the COVID-19 patients in their ICU and were, thus, celebrating.",Agência Lupa,2020/05/15 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-shows-healthcare-professionals-in-a-hospital-displaying-hopeful-message-the-caption-states-the-video-was-filmed-at-moinhos-de-vento-hospital-in-porto-alegre-brazil-and-that-they-managed-to
Steam therapy cures the coronavirus.,GhanaFact,2020/05/15 ,Ghana,No evidence,https://www.poynter.org/?ifcn_misinformation=steam-therapy-cures-the-coronavirus
Boldo tea can cure COVID-19 in three hours.,Agência Lupa,2020/05/14 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=boldo-tea-can-cure-covid-19-in-three-hours
"Kozhikode District Magistrate audio clip claiming steam, saltwater gargling and drinking herbal tea can cure/resist COVID-19.",FactCrescendo,2020/05/14 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=kozhikode-district-magistrate-audio-clip-claiming-steam-saltwater-gargling-and-drinking-herbal-tea-can-cure-resist-covid-19
"A Facebook page uploaded an interview with a man who supposedly got cured of COVID-19 through salt water steam inhalation therapy, and told readers the answer is “not a vaccine but salt.”",VERA Files,2020/05/14 ,Philippines,FALSE,https://www.poynter.org/?ifcn_misinformation=a-facebook-page-uploaded-an-interview-with-a-man-who-supposedly-got-cured-of-covid-19-through-salt-water-steam-inhalation-therapy-and-told-readers-the-answer-is-not-a-vaccine-but-salt
“Hydroxychloroquine cures this ‘virus.’ It just so happens this is the treatment used for radiation sickness!!”,PolitiFact,2020/05/14 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=hydroxychloroquine-cures-this-virus-it-just-so-happens-this-is-the-treatment-used-for-radiation-sickness
Palm oil is a simple cure for the coronavirus.,Vishvas News,2020/05/13 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=palm-oil-is-a-simple-cure-for-the-coronavirus
Green or black tea with lemon and two spoons of fennel flower cures COVID-19.,Fatabyyano,2020/05/13 ,"Egypt, Jordan, Tunisia",FALSE,https://www.poynter.org/?ifcn_misinformation=green-or-black-tea-with-lemon-and-two-spoons-of-fennel-flower-cures-covid-19
"By drinking Ayurvedic decoction, 6 thousand corona infected patients were cured.",Newschecker,2020/05/13 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=by-drinking-ayurvedic-decoction-6-thousand-corona-infected-patients-were-cured-2
"By drinking Ayurvedic decoction, 6 thousand corona infected patients were cured.",Newschecker,2020/05/13 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=by-drinking-ayurvedic-decoction-6-thousand-corona-infected-patients-were-cured
