claim,fact-check agency,time,orginated,label,poynter_url
Study Shows Chlorine Dioxide or CDS Cures Coronavirus,Maldita.es,2021/04/07 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=study-shows-chlorine-dioxide-or-cds-cures-coronavirus
Alkaline food can cure covid,La Silla Vacía,2021/04/06 ,Colombia,FALSE,https://www.poynter.org/?ifcn_misinformation=alkaline-food-can-cure-covid
Breathing exercises can help to cure and prevent COVID-19.,VoxCheck,2021/04/06 ,Ukraine,NO EVIDENCE,https://www.poynter.org/?ifcn_misinformation=breathing-exercises-can-help-to-cure-and-prevent-covid-19
Video of a Brazilian doctor saying ivermectin can save lives and is the cure of covid-19.,Estadão Verifica,2021/03/30 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=video-of-a-brazilian-doctor-saying-ivermectin-can-save-lives-and-is-the-cure-of-covid-19
The UK government changed the classification of Covid-19 from a severe infectious disease to an ordinary infectious disease because it was only a conspiracy and could be cured with paracetamol,TEMPO,2021/03/29 ,Indonesia,FALSE,https://www.poynter.org/?ifcn_misinformation=the-uk-government-changed-the-classification-of-covid-19-from-a-severe-infectious-disease-to-an-ordinary-infectious-disease-because-it-was-only-a-conspiracy-and-could-be-cured-with-paracetamol
"“I Am Legend,” which depicts the world devastated by a deadly virus after a cancer cure goes wrong, is set in 2021",AFP,2021/03/24 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=i-am-legend-which-depicts-the-world-devastated-by-a-deadly-virus-after-a-cancer-cure-goes-wrong-is-set-in-2021
Nebulization with hydroxychloroquine cures COVID-19.,Estadão Verifica,2021/03/23 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=nebulization-with-hydroxychloroquine-cures-covid-19
Ivermectin can be used as a cure for Covid-19.,Istinomer,2021/03/23 ,Serbia,Explanatory,https://www.poynter.org/?ifcn_misinformation=ivermectin-can-be-used-as-a-cure-for-covid-19
The drug called flutamida cures COVID-19.,Estadão Verifica,2021/03/22 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=the-drug-called-flutamida-cures-covid-19
Doctor has cured patients with COVID-19 with flutamide.,Aos Fatos,2021/03/22 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=doctor-has-cured-patients-with-covid-19-with-flutamide
The drug called proxalutamida cures serious ill people with COVID-19.,Estadão Verifica,2021/03/19 ,Brazil,Misleading,https://www.poynter.org/?ifcn_misinformation=the-drug-called-proxalutamida-cures-serious-ill-people-with-covid-19
Methotrexate cures COVID-19 because it directly neutralizes the SARS-CoV-2 virus.,Ellinika Hoaxes,2021/03/12 ,Greece,Misleading,https://www.poynter.org/?ifcn_misinformation=methotrexate-cures-covid-19-because-it-directly-neutralizes-the-sars-cov-2-virus
We know how to cure long-Covid ?,Détecteur de rumeurs,2021/03/11 ,"Canada, France",FALSE,https://www.poynter.org/?ifcn_misinformation=we-know-how-to-cure-long-covid
"This is Mihail, born in the village of Bukojcani in Kichevo (North Macedonia). Mihail is a student at the Faculty of Pharmacy in his 3rd year of studies. He found an effective remedy for coronavirus. Many patients have been cured so far. But no one talks about this on the news, because they are taken over by politics. Shame on all televisions. Share this find out more about it. Well done to Mihail. Macedonia needs such children.",Vistinomer,2021/03/10 ,North Macedonia,FALSE,https://www.poynter.org/?ifcn_misinformation=this-is-mihail-born-in-the-village-of-bukojcani-in-kichevo-north-macedonia-mihail-is-a-student-at-the-faculty-of-pharmacy-in-his-3rd-year-of-studies-he-found-an-effective-remedy-for-coronavirus
The consequences of mRNA vaccination will be impossible to cure – it changes the human DNA,StopFake.org,2021/03/04 ,Ukraine,FALSE,https://www.poynter.org/?ifcn_misinformation=the-consequences-of-mrna-vaccination-will-be-impossible-to-cure-it-changes-the-human-dna
