claim,fact-check agency,time,orginated,label,poynter_url
Facebook posts states that prince Charles was treated with medicine typically used for treating calf to cure COVID-19 and that the treatment was successful.,Delfi Melo Detektorius (Lie Detector),2020/04/06 ,Lithuania,FALSE,https://www.poynter.org/?ifcn_misinformation=facebook-posts-states-that-prince-charles-was-treated-with-medicine-typically-used-for-treating-calf-to-cure-covid-19-and-that-the-treatment-was-successful
Japanese Prime Minister Shinzo Abe announced that his country has created a cure for COVID-19.,VERA Files,2020/04/06 ,Philippines,MISLEADING,https://www.poynter.org/?ifcn_misinformation=japanese-prime-minister-shinzo-abe-announced-that-his-country-has-created-a-cure-for-covid-19
Chinese are killing thousands of bears because a belief is saying their bile can cure COVID-19.,Détecteur de rumeurs,2020/04/06 ,"France, Canada",FALSE,https://www.poynter.org/?ifcn_misinformation=chinese-are-killing-thousands-of-bears-because-a-belief-is-saying-their-bile-can-cure-covid-19
A picture shows the new COVID-19 cure invented in France.,Faktograf,2020/04/06 ,Croatia,False,https://www.poynter.org/?ifcn_misinformation=a-picture-shows-the-new-covid-19-cure-invented-in-france
"A study from Dr. Vladimir Zelenko had 100% success on using hydroxychloroquine, zinc and azithromycin to cure coronavirus.",Estadão Verifica,2020/04/06 ,Brazil,False,https://www.poynter.org/?ifcn_misinformation=a-study-from-dr-vladimir-zelenko-had-100-success-on-using-hydroxychloroquine-zinc-and-azithromycin-to-cure-coronavirus
There are no COVID-19 deaths in Israel as they found a cure for COVID-19 – a mixture of lemon and baking soda.,Factly,2020/04/05 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=there-are-no-covid-19-deaths-in-israel-as-they-found-a-cure-for-covid-19-a-mixture-of-lemon-and-baking-soda
"COVID-19 is cured by taking a very hot drink of ginger, garlic, cinnamon, honey and onion.",Animal Político,2020/04/05 ,Mexico,FALSE,https://www.poynter.org/?ifcn_misinformation=covid-19-is-cured-by-taking-a-very-hot-drink-of-ginger-garlic-cinnamon-honey-and-onion
The WHO celebrates a Chinese cure for COVID-19 which was used in Wuhan.,Fatabyyano,2020/04/04 ,"Middle East, North Africa",False,https://www.poynter.org/?ifcn_misinformation=the-who-celebrates-a-chinese-cure-for-covid-19-which-was-used-in-wuhan
Using the drug ivermectin cures the coronavirus within 48 hours.,Maldita.es,2020/04/04 ,"Spain, Australia",Explanatory,https://www.poynter.org/?ifcn_misinformation=using-the-drug-ivermectin-cures-the-coronavirus-within-48-hours
Betadine antiseptic cures the first symptoms of COVID-19 when used for gargling.,Fatabyyano,2020/04/04 ,"Middle East, North Africa",False,https://www.poynter.org/?ifcn_misinformation=betadine-antiseptic-cures-the-first-symptoms-of-covid-19-when-used-for-gargling
"Several home-made cures for coronavirus, ; garlic / vodka / vitamin C treats coronavirus ; children do not transmit the coronavirus and “Serbs have lion genes”.",Vistinomer,2020/04/03 ,"North Macedonia, Serbia",FALSE,https://www.poynter.org/?ifcn_misinformation=several-home-made-cures-for-coronavirus-garlic-vodka-vitamin-c-treats-corona-virus-children-do-not-transmit-the-coronavirus-and-serbs-have-lion-genes
A video starring Andreas Ludwig Kalcker claiming to be a German scientist who has the cure for coronavirus and denounces censorship.,Maldita.es,2020/04/03 ,"Spain, Germany",False,https://www.poynter.org/?ifcn_misinformation=a-video-starring-andreas-ludwig-kalcker-claiming-to-be-a-german-scientist-who-has-the-cure-for-coronavirus-and-denounces-censorship
"A Facebook video claimed that sobolo, a herbal tea, could cure the novel coronavirus.",Dubawa,2020/04/03 ,Ghana,FALSE,https://www.poynter.org/?ifcn_misinformation=a-facebook-video-claimed-that-sobolo-a-herbal-tea-could-cure-the-novel-coronavirus
Ruth Mari Calderon from the Academy John Maxwell in Bolivia shares information on the unknown cures for COVID-19.,Bolivia Verifica,2020/04/03 ,"Bolivia, Dominican Republic",False,https://www.poynter.org/?ifcn_misinformation=ruth-mari-calderon-from-the-academy-john-maxwell-in-bolivia-shares-information-on-the-unknown-cures-for-covid-19
Coffee cures coronavirus.,La Silla Vacía,2020/04/03 ,Colombia,False,https://www.poynter.org/?ifcn_misinformation=coffee-cures-coronavirus
