claim,fact-check agency,time,orginated,label,poynter_url
"“Amoxi” Capsule, made in US, is the only medicine that can completely cure COVID-19.",Sure And Share Center MCOT,2020/03/15 ,Thailand,False,https://www.poynter.org/?ifcn_misinformation=amoxi-capsule-made-in-us-is-the-only-medicine-that-can-completely-cure-covid-19-2
"Drugs used against malaria (Hydroxychloroquine, Azithromycin) can cure COVID-19.",Sure And Share Center MCOT,2020/03/15 ,Thailand,HALF TRUTH,https://www.poynter.org/?ifcn_misinformation=amoxi-capsule-made-in-us-is-the-only-medicine-that-can-completely-cure-covid-19
A Cuban vaccine cured 1.500 people infected with the new coronavirus.,Observador,2020/03/14 ,Portugal,False,https://www.poynter.org/?ifcn_misinformation=a-cuban-vaccine-cured-1-500-people-infected-with-the-new-coronavirus
"The Greek government and parliament knew about the new coronavirus pandemic before it occured and thus, in the summer of 2019, rushed to make the new penal codes instructions regarding the protective measures in case of a disease outbreak official.",Ellinika Hoaxes,2020/03/13 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=the-greek-government-and-parliament-knew-about-the-new-coronavirus-pandemic-before-it-occured-and-thus-in-the-summer-of-2019-rushed-to-make-the-new-penal-codes-instructions-regarding-the-protective
Propolis cures COVID-19.,Faktograf,2020/03/13 ,Croatia,False,https://www.poynter.org/?ifcn_misinformation=propolis-cures-covid-19
Israel has no cases of the coronavirus because it developed a cure.,AFP,2020/03/13 ,Pakistan,False,https://www.poynter.org/?ifcn_misinformation=israel-has-no-cases-of-the-coronavirus-because-it-developed-a-cure
"Onions, turmeric, and lozenges can prevent and cure COVID-19",Sure And Share Center MCOT,2020/03/13 ,Thailand,FALSE,https://www.poynter.org/?ifcn_misinformation=onions-turmeric-and-lozenges-can-prevent-and-cure-covid-19
Aajtak news channel claims that consuming the herbal plant Tulsi will cure coronavirus.,India Today,2020/03/13 ,India,Mostly false,https://www.poynter.org/?ifcn_misinformation=aajtak-news-channel-claims-that-consuming-the-herbal-plant-tulsi-will-cure-coronavirus
Drinking water in which garlic was boiled will cure you from COVID-19.,Faktograf,2020/03/12 ,Croatia,False,https://www.poynter.org/?ifcn_misinformation=drinking-water-in-which-garlic-was-boiled-will-cure-you-from-covid-19
Consuming onion and salt followed by a glass of water can cure coronavirus.,FactCrescendo,2020/03/12 ,India,False,https://www.poynter.org/?ifcn_misinformation=consuming-onion-and-salt-followed-by-a-glass-of-water-can-cure-coronavirus
Consuming salt and onion can cure the novel coronavirus.,FactCrescendo,2020/03/12 ,Myanmar,False,https://www.poynter.org/?ifcn_misinformation=consuming-salt-and-onion-can-cure-the-novel-coronavirus
Turmeric and lemon can cure the coronavirus.,The Quint,2020/03/12 ,India,Misleading,https://www.poynter.org/?ifcn_misinformation=turmeric-and-lemon-can-cure-the-coronavirus-2
Turmeric and lemon can cure the coronavirus.,The Quint,2020/03/12 ,India,Misleading,https://www.poynter.org/?ifcn_misinformation=turmeric-and-lemon-can-cure-the-coronavirus
COVID-19 is cured with hot water and baking soda.,15min.lt,2020/03/12 ,Lithuania,False,https://www.poynter.org/?ifcn_misinformation=covid-19-is-cured-with-hot-water-and-baking-soda
AIIMS (Indian medical institute) team has said that Toddy has medicinal properties to cure coronavirus.,Factly,2020/03/11 ,India,False,https://www.poynter.org/?ifcn_misinformation=aiims-indian-medical-institute-team-has-said-that-toddy-has-medicinal-properties-to-cure-coronavirus
