claim,fact-check agency,time,orginated,label,poynter_url
Drinking three cups of tea or coffee a day does cures COVID-19.,La Nación,2020/04/03 ,Costa Rica,FALSE,https://www.poynter.org/?ifcn_misinformation=drinking-three-cups-of-tea-or-coffee-a-day-does-cures-covid-19
Spanish hospitals are injecting MMS to COVID-19 patients to cure them.,Maldita.es,2020/04/02 ,Spain,False,https://www.poynter.org/?ifcn_misinformation=spanish-hospitals-are-injecting-mms-to-covid-19-patients-to-cure-them
Claim that says the only effective cure for novel coronavirus is simple herbal tea.,Delfi Melo Detektorius (Lie Detector),2020/04/02 ,Lithuania,FALSE,https://www.poynter.org/?ifcn_misinformation=claim-that-says-the-only-effective-cure-for-novel-coronavirus-is-simple-herbal-tea
Israeli recipe for lemon and bicarbonate drink is a coronavirus cure.,LeadStories,2020/04/02 ,United States,False,https://www.poynter.org/?ifcn_misinformation=israeli-recipe-for-lemon-and-bicarbonate-drink-is-a-coronavirus-cure
"The are no COVID-19 deaths in Israel as they found a cure for COVID-19, a mixture of lemon and baking soda.",Factly,2020/04/02 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=the-are-no-covid-19-deaths-in-israel-as-they-found-a-cure-for-covid-19-a-mixture-of-lemon-and-baking-soda
Malaysians are eating soap as a way to cure COVID-19.,FactCrescendo,2020/04/02 ,Myanmar,False,https://www.poynter.org/?ifcn_misinformation=malaysians-are-eating-soap-as-a-way-to-cure-covid-19
Coronavirus does not cause a runny nose; is killed by temperatures above 26 degrees; causes lung fibrosis within days of infection; can be diagnosed by holding your breath for 10 seconds; and can be cured in the early stages by drinking plenty of water.,Science Feedback,2020/04/01 ,United States,Mostly false,https://www.poynter.org/?ifcn_misinformation=coronavirus-does-not-cause-a-runny-nose-is-killed-by-temperatures-above-26-degrees-causes-lung-fibrosis-within-days-of-infection-can-be-diagnosed-by-holding-your-breath-for-10-seconds-and-can-be-c
"You can cure coronavirus with lemon, garlic and avocado because of its pH level.",Efecto Cocuyo,2020/04/01 ,Venezuela,False,https://www.poynter.org/?ifcn_misinformation=you-can-cure-coronavirus-with-lemon-garlic-and-avocado-because-of-its-ph-level
"As of 4/1/20, all coronavirus patients from Blumenau, Brazil, were cured.",Agência Lupa,2020/04/01 ,Brazil,False,https://www.poynter.org/?ifcn_misinformation=as-of-4-1-20-all-coronavirus-patients-from-blumenau-brazil-were-cured
Hydroxychloroquine and Azithromycin are cures for COVID-19.,La Silla Vacía,2020/04/01 ,Colombia,No evidence,https://www.poynter.org/?ifcn_misinformation=hydroxychloroquine-and-azithromycin-are-cures-for-covid-19
Lemon juice and bicarbonate mixture prevents and cures COVID-19 in Israel.,FactCheck.org,2020/03/31 ,United States,False,https://www.poynter.org/?ifcn_misinformation=lemon-juice-and-bicarbonate-mixture-prevents-and-cures-covid-19-in-israel
"No deaths have been reported in Israel due to COVID-19 because they have found a cure for the disease. A solution of hot water, baking soda and lemon is the cure for COVID-19.",FactCrescendo,2020/03/31 ,India,False,https://www.poynter.org/?ifcn_misinformation=no-deaths-have-been-reported-in-israel-due-to-covid-19-because-they-have-found-a-cure-for-the-disease-a-solution-of-hot-water-baking-soda-and-lemon-is-the-cure-for-covid-19
A video of a Doctor of Mumbai’s Kasturba hospital suggesting tea and hot water to cure COVID-19.,India Today,2020/03/31 ,India,Mostly false,https://www.poynter.org/?ifcn_misinformation=a-video-of-a-doctor-of-mumbais-kasturba-hospital-suggesting-tea-and-hot-water-to-cure-covid-19
Lemon and bicarbonate can cure coronavirus.,The Quint,2020/03/30 ,India,Misleading,https://www.poynter.org/?ifcn_misinformation=lemon-and-bicarbonate-can-cure-coronavirus
Dr. Li Wenliang discovered coffee can cure coronavirus.,Efecto Cocuyo,2020/03/30 ,Venezuela,False,https://www.poynter.org/?ifcn_misinformation=dr-li-wenliang-discovered-coffee-can-cure-coronavirus
