claim,fact-check agency,time,orginated,label,poynter_url
Anti-Malaria Drug Chloroquine Is A Cure For coronavirus.,FactCrescendo,2020/03/11 ,India,False,https://www.poynter.org/?ifcn_misinformation=anti-malaria-drug-chloroquine-is-a-cure-for-coronavirus
Marijuana is a cure for the coronavirus.,AFP,2020/03/11 ,Czech Republic,FALSE,https://www.poynter.org/?ifcn_misinformation=marijuana-is-a-cure-for-the-coronavirus
"Onion could be used to cure COVID-19, as it did for the Spanish Flu in 1918.",Sure And Share Center MCOT,2020/03/10 ,Thailand,False,https://www.poynter.org/?ifcn_misinformation=onion-could-be-used-to-cure-covid-19-as-it-did-for-the-spanish-flu-in-1918
Antibiotic azitromycin cures COVID-19.,Factcheck.Vlaanderen,2020/03/10 ,Belgium,No evidence,https://www.poynter.org/?ifcn_misinformation=antibiotic-azitromycin-cures-covid-19
"In an Aaj Tak news report, the Chinese prime minister said, “Reading Quran and offering namaz is the only cure for COVID-19.”",Factly,2020/03/09 ,India,False,https://www.poynter.org/?ifcn_misinformation=in-an-aaj-tak-news-report-the-chinese-prime-minister-said-reading-quran-and-offering-namaz-is-the-only-cure-for-covid-19
Anti-malaria drug Chloroquine is a definitive cure for COVID-19.,AFP,2020/03/09 ,Nigeria,Misleading,https://www.poynter.org/?ifcn_misinformation=anti-malaria-drug-chloroquine-is-a-definitive-cure-for-covid-19
Pier Luigi Bersani,Taiwan FactCheck Center,2020/03/09 ,Taiwan,False,https://www.poynter.org/?ifcn_misinformation=pier-luigi-bersani-none-of-the-confirmed-cases-are-related-to-china-coronavirus-might-have-occured-in-italy-before-china
Pier Luigi Bersani,Taiwan FactCheck Center,2020/03/09 ,Taiwan,False,https://www.poynter.org/?ifcn_misinformation=pier-luigi-bersani-none-of-the-confirmed-cases-are-related-to-china-coronavirus-might-have-occured-in-italy-before-china-2
"Palestine, Egypt, or Lebanon have succeeded in developing a coronavirus cure.",Misbar,2020/03/09 ,"Middle East, North Africa",False,https://www.poynter.org/?ifcn_misinformation=palestine-egypt-or-lebanon-have-succeeded-in-developing-a-coronavirus-cure
Freshly boiled garlic water is a cure for coronavirus.,LeadStories,2020/03/09 ,United States,False,https://www.poynter.org/?ifcn_misinformation=freshly-boiled-garlic-water-is-a-cure-for-coronavirus
Cocaine cures COVID-19.,FactCrescendo,2020/03/07 ,India,False,https://www.poynter.org/?ifcn_misinformation=cocaine-cures-covid-19
Aaj Tak channel aired a program that said drinking alcohol or smoking weed can cure COVID-19.,Factly,2020/03/06 ,India,False,https://www.poynter.org/?ifcn_misinformation=aaj-tak-channel-aired-a-program-that-said-drinking-alcohol-or-smoking-weed-can-cure-covid-19
"A herbal tea can cure symptoms of coronavirus, even if it is a bioterrorism weapon.",Efecto Cocuyo,2020/03/05 ,Venezuela,False,https://www.poynter.org/?ifcn_misinformation=a-herbal-tea-can-cure-symptoms-of-coronavirus-even-if-it-is-a-bioterrorism-weapon
Every election year has a disease; coronavirus has a contagion factor of 2 and a cure rate of 99.7% for those under 50 it infects.,Science Feedback,2020/03/05 ,United States,False,https://www.poynter.org/?ifcn_misinformation=every-election-year-has-a-disease-coronavirus-has-a-contagion-factor-of-2-and-a-cure-rate-of-99-7-for-those-under-50-it-infects-2
Vitamin C is a miracle cure for the novel coronavirus.,Källkritikbyrån,2020/03/05 ,Sweden,FALSE,https://www.poynter.org/?ifcn_misinformation=vitamin-c-is-a-miracle-cure-for-the-novel-coronavirus
