,title,media,date,datetime,desc,link,img
0,AstraZeneca doubles capacity for potential Covid-19 vaccine to 2bn doses,The Guardian,"Jun 4, 2020",2020-06-04 00:00:00.000000,"AstraZeneca has doubled the manufacturing capacity for its potential 
Covid-19 vaccine to 2bn doses after striking a number of deals that include 
two health...",https://www.theguardian.com/business/2020/jun/04/astrazeneca-doubles-capacity-for-potential-covid-19-vaccine-to-2bn-doses,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
1,Gates Pledges $1.6 Billion for Vaccines Against Covid-19 and Other Diseases,Barron's,"Jun 4, 2020",2020-06-04 00:00:00.000000,"The Bill and Melinda Gates Foundation is pledging $1.6 billion to a global 
organization that provides vaccines to children in the poorest countries.",https://www.barrons.com/articles/gates-foundation-vaccines--covid-19-children-developing-countries-51591284623,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2,"'Global solidarity' needed, to find affordable, accessible ...",UN News,"Jun 4, 2020",2020-06-04 00:00:00.000000,"'Global solidarity' needed, to find affordable, accessible COVID-19 
vaccine. Research is underway to find a vaccine against the coronavirus. UN 
Photo/...",https://news.un.org/en/story/2020/06/1065622,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3,"Covid-19 vaccine may not work for at-risk older people, say scientists",The Guardian,"Jun 23, 2020",2020-06-23 00:00:00.000000,"A vaccine against Covid-19 may not work well in older people who are most 
at risk of becoming seriously ill and dying from the disease, say 
scientists,...",https://www.theguardian.com/world/2020/jun/23/covid-19-vaccine-may-not-work-for-at-risk-older-people-say-scientists,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4,Pirbright study shows two doses of COVID-19 vaccine ...,National Hog Farmer,"Jun 23, 2020",2020-06-23 00:00:00.000000,"Vaccines to protect against COVID-19 and to reduce SARS-CoV-2 transmission 
are urgently required to combat this global emergency.",https://www.nationalhogfarmer.com/livestock/pirbright-study-shows-two-doses-covid-19-vaccine-effective-pigs,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
5,Pig trial of AstraZeneca's COVID-19 vaccine shows promise ...,Reuters,"Jun 23, 2020",2020-06-23 00:00:00.000000,"L experimental COVID-19 vaccine has found that two doses of the shot 
produced a greater antibody response than a single dose. Research released 
by Britain's...",https://www.reuters.com/article/us-health-coronavirus-vaccine-astrazenec-idUSKBN23U1AE,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
6,Covid-19 Vaccine Tracker: Latest Updates,The New York Times,"Jun 30, 2020",2020-06-30 00:00:00.000000,"Trials may also be abandoned if they indicate a vaccine isn't effective 
against Covid-19. Filter the list of vaccines: All vaccines. Phase 1 2 3",https://www.nytimes.com/interactive/2020/science/coronavirus-vaccine-tracker.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
7,COVID-19 vaccine development pipeline gears up,The Lancet,"Jun 6, 2020",2020-06-06 00:00:00.000000,"Vaccine makers are racing to develop COVID-19 vaccines, and have advanced 
ten candidates into clinical trials. But challenges remain. Asher Mullard 
reports.",https://www.thelancet.com/journals/lancet/article/PIIS0140-67362031252-6/fulltext,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
8,Imperial College takes COVID vaccine into clinic - Bioprocess ...,BioProcess International,"Jun 19, 2020",2020-06-19 00:00:00.000000,"A vaccine candidate that allegedly turns cells in the body into 
'mini-antibody producing factories' against COVID-19 has begun 
first-in-human clinical...",https://bioprocessintl.com/bioprocess-insider/therapeutic-class/imperial-college-london-takes-rna-covid-vaccine-into-clinic/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
9,FDA outlines COVID-19 vaccine requirements,BioPharma Reporter,"Jul 1, 2020",2020-07-01 00:00:00.000000,"As the frontrunners in the race to develop a COVID-19 vaccine, such as 
Moderna​ and AstraZeneca​, reach late-stage trials, the US Food and Drug...",https://www.biopharma-reporter.com/Article/2020/07/01/FDA-outlines-COVID-19-vaccine-requirements,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
10,A Covid-19 vaccine may not be enough to end the pandemic,Vox,"Jun 3, 2020",2020-06-03 00:00:00.000000,"For Covid-19, it would involve vaccinating just people who were exposed to 
the virus rather than everyone in a population, forming a “ring” around a 
known...",https://www.vox.com/2020/6/3/21258841/coronavirus-vaccine-covid-19-testing-usa-china-moderna,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
