,title,media,date,datetime,desc,link,img
0,Pfizer CEO says fourth Covid vaccine doses may be needed sooner than expected due to omicron,CNBC,"Dec 8, 2021",2021-12-08 00:00:00.000000,"A syringe is filled with a dose of Pfizer's coronavirus disease (COVID-19) 
vaccine at a pop-up community vaccination center at the Gateway World 
Christian...",https://www.cnbc.com/2021/12/08/omicron-pfizer-ceo-says-we-may-need-fourth-covid-vaccine-doses-sooner-than-expected.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
1,When will kids under 5 be able to get a COVID-19 vaccine?,TODAY,"Dec 7, 2021",2021-12-07 00:00:00.000000,"Here's the latest on the status of ongoing pediatric COVID-19 vaccine 
trials in the U.S. and more on the careful work that goes into developing 
vaccines for...",https://www.today.com/health/health/will-kids-5-able-get-covid-19-vaccine-rcna7761,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2,Omicron likely to weaken COVID vaccine protection,Nature,"Dec 8, 2021",2021-12-08 00:00:00.000000,"Early lab results suggest that existing vaccines could be less effective 
against the fast-spreading coronavirus variant, but boosters should improve 
immunity.",https://www.nature.com/articles/d41586-021-03672-3,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3,Pfizer testing extra Covid vaccine dose for kids under 5,Stat News,"Dec 17, 2021",2021-12-17 00:00:00.000000,"Pfizer said Friday it was changing plans and testing three doses of its 
Covid-19 vaccine in babies and preschoolers instead of the usual two.",https://www.statnews.com/2021/12/17/pfizer-testing-extra-covid-vaccine-dose-for-kids-under-5/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4,CDC Endorses ACIP's Updated COVID-19 Vaccine ...,CDC,"Dec 16, 2021",2021-12-16 00:00:00.000000,"Today, CDC is endorsing updated recommendations made by the Advisory 
Committee on Immunization Practices (ACIP) for the prevention of COVID-19, 
expressing a...",https://www.cdc.gov/media/releases/2021/s1216-covid-19-vaccines.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
5,Weekly vaccination clinic updates,Colorado COVID-19 Updates,"Dec 22, 2021",2021-12-22 00:00:00.000000,"Scroll down on this page to view information about upcoming vaccine clinics 
by date and by county. Questions about clinics or about the COVID-19 
vaccine? Please...",https://covid19.colorado.gov/weekly-vaccination-clinics,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
6,Omicron significantly reduces Covid antibody protection in small study of Pfizer vaccine recipients,CNBC,"Dec 7, 2021",2021-12-07 00:00:00.000000,"The Covid omicron variant significantly reduces antibodies generated by 
Pfizer and BioNTech's vaccine, according to a small preliminary study 
released...",https://www.cnbc.com/2021/12/07/omicron-significantly-reduces-covid-antibody-protection-in-small-study-of-pfizer-vaccine-recipients.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
7,How T cells from Covid vaccines work against omicron variant,CNBC,"Dec 2, 2021",2021-12-02 00:00:00.000000,"But crucially, that's no reason to avoid getting vaccinated or boosted: 
Your body's vaccine-induced protection against Covid involves a lot more 
than just...",https://www.cnbc.com/2021/12/02/how-t-cells-from-covid-vaccines-work-against-omicron-variant.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
8,US donates more COVID vaccine as new states confirm Omicron,CIDRAP,"Dec 3, 2021",2021-12-03 00:00:00.000000,"Today the Biden administration's COVID-19 response coordinator, Jeff 
Zients, said the United States would be shipping 9 million doses of 
COVID-19 vaccine to...",https://www.cidrap.umn.edu/news-perspective/2021/12/us-donates-more-covid-vaccine-new-states-confirm-omicron,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
9,CDC says it won’t impose COVID vaccine mandate on domestic flights for now,MassLive.com,"Dec 29, 2021",2021-12-29 00:00:00.000000,"While vaccination is required for international travelers to the U.S., 
officials at the Centers for Disease Control and Prevention believe 
domestic flights are...",https://www.masslive.com/coronavirus/2021/12/cdc-says-it-wont-impose-covid-vaccine-mandate-on-domestic-flights-for-now.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
10,Coronavirus (COVID-19) Update: FDA Authorizes First Oral ...,US Food and Drug Administration,"Dec 22, 2021",2021-12-22 00:00:00.000000,"The FDA urges the public to get vaccinated and receive a booster if 
eligible. Learn more about FDA-approved or -authorized COVID-19 vaccines. 
Paxlovid consists...",https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-fda-authorizes-first-oral-antiviral-treatment-covid-19,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
11,COVID-19: Can booster vaccines protect people from Omicron ...,The World Economic Forum,"Dec 14, 2021",2021-12-14 00:00:00.000000,"COVID-19: This is how booster jabs can protect you from Omicron. A woman 
receives a dose of the coronavirus disease (COVID-19) booster vaccine.",https://www.weforum.org/agenda/2021/12/can-covid-vaccine-booster-shot-protect-from-omicron/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
12,WHO warns new Covid variants could emerge that are fully resistant to vaccines as pandemic drags on,CNBC,"Dec 29, 2021",2021-12-29 00:00:00.000000,"The World Health Organization warned that new coronavirus variants could 
emerge during the pandemic that render current vaccines useless.",https://www.cnbc.com/2021/12/29/who-warns-vaccine-resistant-covid-variants-could-emerge-amid-pandemic.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
13,"Senate Republicans move to block Biden's vaccine mandate with help from Democrats Manchin, Tester",USA Today,"Dec 8, 2021",2021-12-08 00:00:00.000000,"Biden announced this fall that businesses with 100 or more employers would 
have to require their workers to get vaccinated against COVID-19 by Jan.",https://www.usatoday.com/story/news/politics/2021/12/08/bidens-covid-vaccine-mandate-blocked-senate-now-heads-house/6423221001/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
14,COVID-19 vaccines and boosters available,Eglin Air Force Base,"Dec 1, 2021",2021-12-01 00:00:00.000000,"The 96th Medical Group has the Pfizer COVID-19 vaccine available for all 
DOD beneficiaries ages five and older at Allergy and Immunization Clinic by 
appointment...",https://www.eglin.af.mil/News/Article-Display/Article/2857720/covid-19-vaccines-and-boosters-available/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
15,Biden's COVID-Vaccine Mandate for Large Companies Is ...,New York Magazine,"Dec 18, 2021",2021-12-18 00:00:00.000000,"Court Reinstates Biden's COVID-Vaccine Mandate for Large Companies ... of 
companies, including hospitals, have abandoned vaccine mandates for their 
workers.",https://nymag.com/intelligencer/2021/12/bidens-covid-vaccine-mandate-for-businesses-is-back-on.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
