,title,media,date,datetime,desc,link,img
0,Pfizer COVID-19 Vaccine Approved For Ages 12 and Up,TN.gov,"May 12, 2021",2021-05-12,"NASHVILLE – The Tennessee Department of Health today announced it will 
begin administering the Pfizer COVID-19 vaccine to children ages 12-15 
years.",https://www.tn.gov/health/news/2021/5/12/pfizer-covid-19-vaccine-approved-for-ages-12-and-up.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
1,COVID Vaccine for 12-15: Where Kids Can Get Vaccinated in the Chicago Area,NBC Chicago,"May 13, 2021",2021-05-13,"COVID Vaccine for 12-15: Where Kids Can Get Vaccinated in the Chicago Area. 
A number of health departments across the Chicago area have announced plans 
to begin...",https://www.nbcchicago.com/news/local/covid-vaccine-for-12-15-where-kids-can-get-vaccinated-in-the-chicago-area/2509105/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2,Should Your Child Get the COVID Vaccine?,Scientific American,"May 21, 2021",2021-05-21,"Vaccination will help protect children from developing serious illness. 
Additionally, since adolescents can transmit COVID-19 to others, 
vaccinating children...",https://www.scientificamerican.com/article/should-your-child-get-the-covid-vaccine/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3,The COVID vaccine is set to make up more than half of Pfizer’s 2021 revenue,Fortune,"May 4, 2021",2021-05-04,"Pfizer believes its COVID-19 vaccine could surpass that and then some, 
despite its only being on the scene since late 2020, the company said 
during its...",https://fortune.com/2021/05/04/covid-19-vaccine-pfizer-earnings-revenue/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4,"Pfizer, BioNTech ask FDA for full approval of Covid-19 vaccine",NBC News,"May 7, 2021",2021-05-07,"Indeed, all Covid-19 vaccines currently in use in the U.S. are being 
administered through EUAs. Last year, the FDA said that in order to apply 
for an EUA for a...",https://www.nbcnews.com/health/health-news/pfizer-asks-fda-full-approval-its-covid-19-vaccine-n1266569,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
5,Pfizer Seeks Full FDA Approval For COVID-19 Vaccine,NPR,"May 7, 2021",2021-05-07,"Pfizer is the first coronavirus vaccine maker in the U.S. to request full 
approval. Like Pfizer, the Moderna and Johnson & Johnson vaccines had been 
previously...",https://www.npr.org/sections/coronavirus-live-updates/2021/05/07/994839927/pfizer-seeks-full-fda-approval-for-covid-19-vaccine,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
6,How to Navigate the Decision To Get Your Child Vaccinated ...,Verywell Health,"May 20, 2021",2021-05-20,"Since becoming eligible for the COVID-19 vaccine, more than 600,000 
children ages 12 to 15 have received the shot. Many parents continue to 
express...",https://www.verywellhealth.com/getting-your-child-covid-vaccinated-5185383,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
7,"U.S. wants COVID vaccine patent waiver to benefit world, not ...",Reuters,"May 8, 2021",2021-05-08,"May 8 (Reuters) - The Biden administration is examining ways to ensure that 
a waiver of COVID-19 vaccine patents to aid poor countries will not hand...",https://www.reuters.com/world/china/us-wants-covid-vaccine-patent-waiver-benefit-world-not-boost-china-biotech-2021-05-08/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
8,A Verywell Report: Have We Reached the COVID-19 Vaccine ...,Verywell Health,"May 28, 2021",2021-05-28,"While Americans are getting used to the idea of returning to public life, 
demand for the COVID-19 vaccines continues to stall. The Verywell Health 
Vaccine...",https://www.verywellhealth.com/covid19-vaccine-plateau-parents-5186132,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
9,Two Canadian provinces stop offering AstraZeneca's COVID ...,Reuters,"May 11, 2021",2021-05-11,"A vial of AstraZeneca coronavirus disease (COVID-19) vaccine doses at a 
facility in Milton, Ontario, Canada, March 3, 2021. REUTERS/Carlos Osorio...",https://www.reuters.com/business/healthcare-pharmaceuticals/canadas-alberta-province-stops-giving-first-doses-astrazeneca-vaccine-2021-05-11/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
10,Remarks by President Biden on the COVID-19 Response and ...,The White House,"May 13, 2021",2021-05-13,"Just a few hours ago, the Centers for Disease Control and Prevention — the 
CDC — announced that they are no longer recommending that fully vaccinated 
people...",https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/05/13/remarks-by-president-biden-on-the-covid-19-response-and-the-vaccination-program-3/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
11,Moderna says its COVID-19 vaccine found to be 100% effective in children 12 to 17 two weeks after second dose,USA Today,"May 25, 2021",2021-05-25,"There were no cases of COVID-19 among the vaccinated group after two shots, 
compared with four cases in the placebo group, an efficacy rate of 100%, 
according...",https://www.usatoday.com/story/news/health/2021/05/25/moderna-covid-19-vaccine-safe-children-study/7422896002/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
12,What you need to know about getting a COVID vaccine for your 12- to 15-year-old in Ohio,The Columbus Dispatch,"May 13, 2021",2021-05-13,"What minors are eligible for a COVID vaccine? Ohioans 12 and over are 
eligible for the Pfizer vaccine, but not the Moderna or Johnson & Johnson 
shots if they...",https://www.dispatch.com/story/news/coronavirus/2021/05/13/ohio-covid-vaccines-12-15-how-get-vaccine-teenagers-columbus-pfizer/5071256001/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
13,"EU supports COVID vaccine patent waiver talks, but critics say ...",Reuters,"May 6, 2021",2021-05-06,"BRUSSELS, May 6 (Reuters) - The European Union on Thursday backed a U.S. 
proposal to discuss waiving patent protections for COVID-19 vaccines,...",https://www.reuters.com/world/europe/eu-willing-discuss-covid-19-vaccine-patent-waiver-eus-von-der-leyen-2021-05-06/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
14,Russia authorises single-dose Sputnik Light COVID vaccine ...,Reuters,"May 6, 2021",2021-05-06,"MOSCOW, May 6 (Reuters) - Russia has authorised the one-shot Sputnik Light 
version of its COVID-19 vaccine for use, the Russian Direct Investment 
Fund...",https://www.reuters.com/business/healthcare-pharmaceuticals/russia-authorises-single-dose-sputnik-light-covid-vaccine-use-rdif-2021-05-06/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
15,How big of a vaccine surplus will the US have?,Brookings,"May 4, 2021",2021-05-04,"For many Americans, getting a jab in the first place is still the priority. 
However, despite the impressive scale-up of COVID-19 vaccine production, 
U.S. plants...",https://www.brookings.edu/blog/future-development/2021/05/04/how-big-of-a-vaccine-surplus-will-the-us-have/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
16,Kentucky Sen. Rand Paul says he won't get COVID-19 vaccine due to natural immunity,Courier-Journal,"May 23, 2021",2021-05-23,"Kentucky Sen. Rand Paul doesn't plan to get the coronavirus vaccine after 
contracting the illness early last year, he said in an interview released 
Sunday.",https://www.courier-journal.com/story/news/local/2021/05/23/paul-says-he-not-taking-covid-vaccine-because-natural-immunity/5233511001/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
17,California launches largest US Covid vaccine lottery yet with $1.5m prize,The Guardian,"May 27, 2021",2021-05-27,"California has become the latest state to offer a vaccine lottery to 
incentivize getting the coronavirus vaccine – launching the nation's most 
valuable...",https://www.theguardian.com/us-news/2021/may/27/california-covid-19-vaccine-lottery,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
18,What to know about the vaccine passports already being tested for international travel,USA Today,"May 26, 2021",2021-05-26,"Vaccination passports would add another digital layer to the multitude of 
existing coronavirus health and contact tracing apps many countries and 
U.S....",https://www.usatoday.com/story/travel/news/2021/05/26/covid-vaccine-passport-international-travel-vaccine-proof/7444454002/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
19,CDC urges states to get more COVID-19 vaccine in doctors ...,American Medical Association,"May 7, 2021",2021-05-07,"The Biden administration believes the supply of vaccines to physician 
offices will increase and they want physicians to register to become a 
COVID-19...",https://www.ama-assn.org/delivering-care/public-health/cdc-urges-states-get-more-covid-19-vaccine-doctors-offices,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
20,ENTER NOW | Ohio's COVID vaccine lottery registration: How to enter the $1 million Vax-a-Million drawings,WKYC,"May 17, 2021",2021-05-17,"ENTER NOW | Ohio's COVID vaccine lottery registration: How to enter the $1 
million Vax-a-Million drawings. WKYC.com will post the winning names each 
week, so be...",https://www.wkyc.com/article/news/health/coronavirus/vaccine/ohio-covid-19-vaccine-lottery-one-million-dollars-governor-mike-dewine/95-988fed80-a9b9-419e-a7b1-5de325010467,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
21,I'm a conservative. Here's why I got the COVID vaccine.,Bangor Daily News,"May 12, 2021",2021-05-12,"On Monday, I drove to the Walmart in Skowhegan to receive my second shot of 
the Moderna vaccine, making me — in two weeks, at least — fully vaccinated. 
I think...",https://bangordailynews.com/2021/05/12/opinion/opinion-contributor/im-a-conservative-heres-why-i-got-the-covid-vaccine/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
22,JCVI advises on COVID-19 vaccine for people aged under 40,GOV.UK,"May 7, 2021",2021-05-07,"The Joint Committee on Vaccination and Immunisation (JCVI) has issued 
advice to the UK government on the use of the coronavirus (COVID-19) 
Oxford/AstraZeneca...",https://www.gov.uk/government/news/jcvi-advises-on-covid-19-vaccine-for-people-aged-under-40,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
23,Pfizer Seeks FDA Full Approval for COVID Vaccine. What ...,Verywell Health,"May 28, 2021",2021-05-28,"Pfizer/BioNTech is applying for full FDA approval for their COVID-19 
vaccines. Emergency use authorization is only granted to drugs and vaccines 
that are...",https://www.verywellhealth.com/pfizer-and-biontech-seeks-fda-full-approval-5186423,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
24,"Why Louisiana COVID vaccine efforts have slowed, even as the U.S. reaches a milestone",NOLA.com,"May 25, 2021",2021-05-25,"The U.S. hit a milestone in its vaccination push Tuesday with over 50% of 
adults now fully vaccinated, according to the White House. But as the 
overall...",https://www.nola.com/news/coronavirus/article_25fe5650-bd9e-11eb-a3c1-afd2305123fc.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
25,Oregon to offer $1 million lottery drawing for COVID vaccine recipients,OPB,"May 21, 2021",2021-05-21,"Any Oregonian 18 or over who's received at least one dose of COVID-19 
vaccine will be eligible on June 28 to win up to $1 million, under an 
incentive...",https://www.opb.org/article/2021/05/21/oregon-covid-19-lottery-briefing/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
26,How Effective Is the Johnson & Johnson COVID-19 Vaccine?,Healthline,"May 27, 2021",2021-05-27,"Who should avoid it? Bottom line. The Johnson & Johnson (J&J) vaccine is a 
single-dose vaccine that can help prevent COVID-...",https://www.healthline.com/health/adult-vaccines/johnson-and-johnson-vaccine-efficacy,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
27,Uber And Lyft Will Give Free Rides To COVID-19 Vaccination ...,NPR,"May 11, 2021",2021-05-11,"Anyone needing a ride to get a COVID-19 vaccine shot will be able to get a 
free trip from the ride-sharing companies Lyft and Uber, the White House...",https://www.npr.org/sections/coronavirus-live-updates/2021/05/11/995882805/uber-and-lyft-will-give-free-rides-to-covid-19-vaccination-spots-white-house-say,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
28,FBI warns of harsh penalty that comes with faking COVID vaccination cards,KIRO 7,"May 7, 2021",2021-05-07,"As governments, businesses, and sports teams offer incentives to get 
vaccinated, counterfeit COVID-19 vaccine cards are popping up. The FBI 
warns that it is...",https://www.kiro7.com/news/local/fbi-warns-harsh-penalty-that-comes-with-faking-covid-vaccination-cards/SGBUBY5OK5GKZMIWU5QDBPEV2A/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
29,Dispelling COVID Vaccine Myths in Africa – Africa Center for ...,Africa Center for Strategic Studies,"May 21, 2021",2021-05-21,"A preponderance of COVID vaccine myths is causing many Africans to forego 
vaccinations at a time when new, more transmissible coronavirus variants 
are spreading...",https://africacenter.org/spotlight/dispelling-covid-vaccine-myths-in-africa/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
