,title,media,date,datetime,desc,link,img
0,Breakthrough COVID vaccine tech could help defeat other ...,Reuters,"Nov 16, 2020",2020-11-16,"The experimental vaccines from Moderna as well as Pfizer and BioNTech use 
lab-made mRNA to instruct cells to make the coronavirus's spike proteins, 
which spur...",https://www.reuters.com/article/idUKKBN27W2PJ,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
1,More Americans Now Willing to Get COVID-19 Vaccine,Gallup News,"Nov 17, 2020",2020-11-17,"WASHINGTON, D.C. -- Americans' willingness to be vaccinated against 
COVID-19 rebounded a bit in October, as seen in Gallup polling conducted 
before...",https://news.gallup.com/poll/325208/americans-willing-covid-vaccine.aspx,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2,Why Moderna And Pfizer Vaccines Have Different Cold ...,NPR,"Nov 17, 2020",2020-11-17,"The Pfizer COVID-19 vaccine needs to be stored at minus 70 Celsius. Health 
care providers will need to store it either in dry ice for shorter stints 
or in...",https://www.npr.org/sections/health-shots/2020/11/17/935563377/why-does-pfizers-covid-19-vaccine-need-to-be-kept-colder-than-antarctica,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3,Covid vaccine: First 'milestone' vaccine offers 90% protection,BBC,"Nov 9, 2020",2020-11-09,"The first effective coronavirus vaccine can prevent more than 90% of people 
from getting Covid-19, a preliminary analysis shows. The developers - 
Pfizer and...",https://www.bbc.com/news/health-54873105,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4,"Pfizer, BioNTech say Covid vaccine is more than 90% effective — 'great day for science and humanity'",CNBC,"Nov 9, 2020",2020-11-09,"Pfizer and BioNTech said the case split between vaccinated individuals and 
those who received a placebo indicated a vaccine efficacy rate of above 90% 
at seven...",https://www.cnbc.com/2020/11/09/covid-vaccine-pfizer-drug-is-more-than-90percent-effective-in-preventing-infection.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
5,Covid-19 vaccine from Pfizer and BioNTech is strongly ...,STAT News,"Nov 9, 2020",2020-11-09,"Covid-19 vaccine from Pfizer and BioNTech is strongly effective, early data 
from large trial indicate · The vaccine is the first to be tested in the 
United...",https://www.statnews.com/2020/11/09/covid-19-vaccine-from-pfizer-and-biontech-is-strongly-effective-early-data-from-large-trial-indicate/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
6,Why Oxford's positive COVID vaccine results are puzzling ...,Nature,"Nov 23, 2020",2020-11-23,"Why Oxford's positive COVID vaccine results are puzzling scientists. 
Preliminary data suggest that the immunization was more effective in trial 
participants who...",https://www.nature.com/articles/d41586-020-03326-w,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
7,What Pfizer's landmark COVID vaccine results mean for the ...,Nature,"Nov 9, 2020",2020-11-09,"Scientists have greeted with cautious optimism a press release declaring 
positive interim results from a coronavirus vaccine phase III trial — the 
first to...",https://www.nature.com/articles/d41586-020-03166-8,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
8,COVID vaccine excitement builds as Moderna reports third ...,Nature,"Nov 16, 2020",2020-11-16,"Moderna was one of the first developers to announce that it was working on 
a COVID-19 vaccine and to move testing to clinical trials in humans. Its 
vaccine...",https://www.nature.com/articles/d41586-020-03248-7,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
9,"Moderna Covid vaccine has 94% efficacy, final results confirm",The Guardian,"Nov 30, 2020",2020-11-30,"Final results from the trials of Moderna's vaccine against Covid-19 confirm 
it has 94% efficacy and nobody who was vaccinated with it developed 
severe...",https://www.theguardian.com/world/2020/nov/30/moderna-covid-vaccine-has-94-efficacy-final-results-confirm,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
