,title,media,date,datetime,desc,link,img
0,"With Wuhan virus genetic code in hand, scientists begin work ...",Reuters,"Jan 24, 2020",2020-01-24,"With Wuhan virus genetic code in hand, scientists begin work on a vaccine 
... vaccines against the new SARS-like coronavirus that is spreading in 
China and...",https://www.reuters.com/article/us-china-health-vaccines-idUSKBN1ZN2J8,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
1,How Long Will It Take to Develop a Vaccine for Coronavirus?,Healthline,"Jan 30, 2020",2020-01-30,"This new virus causes an illness known as COVID-19, with symptoms such as 
fever, cough, and shortness of breath. There's currently no specific 
antiviral...",https://www.healthline.com/health-news/how-long-will-it-take-to-develop-vaccine-for-coronavirus,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2,The scientist leading the coronavirus vaccine race,Financial Times,"Jan 29, 2020",2020-01-29,"The US physician spearheading international efforts to find a vaccine 
against the deadly new strain of coronavirus said he was aiming to begin 
clinical...",https://www.ft.com/content/40abf052-41e9-11ea-bdb5-169ba7be433d,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3,Jack Ma donates $14 million to develop coronavirus vaccine,CNN,"Jan 29, 2020",2020-01-29,"... founder and China's richest man, has donated 100 million yuan ($14.4 
million) through his foundation to help find a vaccine for the Wuhan 
coronavirus.",https://www.cnn.com/2020/01/29/business/jack-ma-coronavirus-vaccine/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4,Drugmakers are rushing to create and test a coronavirus vaccine. Here's how they're doing it,USA Today,"Jan 24, 2020",2020-01-24,"The National Institutes of Health has partnered with a Boston-area company, 
Moderna, on a vaccine targeting the novel coronavirus.",https://www.usatoday.com/story/news/health/2020/01/24/national-institutes-health-has-partnered-boston-area-company-moderna-vaccine-targeting-novel-coronav/4568266002/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
5,Researchers make strides in race to create coronavirus vaccine,The Guardian,"Feb 1, 2020",2020-02-01,"The World Health Organization is recommending that people take simple 
precautions to reduce exposure to and transmission of the coronavirus, for 
which there is...",https://www.theguardian.com/world/2020/feb/01/researchers-make-strides-in-race-to-create-coronavirus-vaccine,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
6,Vaccine for new Chinese coronavirus in the works,CNN,"Jan 20, 2020",2020-01-20,"(CNN) The National Institutes of Health is working on a vaccine against the 
new virus that has infected hundreds and killed four in Asia. ""The NIH is 
in the...",https://www.cnn.com/2020/01/20/health/coronavirus-nih-vaccine-development/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
7,I Never Get Sick. Why Do I Need the Flu Shot?,Healthline,"Jan 7, 2020",2020-01-07,"Although not 100 percent effective, the influenza vaccination may help 
prevent the flu and reduce the severity of the disease in some cases. 
Multiple strains of...",https://www.healthline.com/health-news/i-never-get-sick-why-do-i-need-the-flu-shot,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
8,Drugmakers Race to Develop a Coronavirus Vaccine.,Barron's,"Jan 31, 2020",2020-01-31,"Still, viruses like the coronavirus aren't a big focus for the 
pharmaceutical industry. Drugmakers know how to make money on rare 
diseases. But vaccines for...",https://www.barrons.com/articles/drugmakers-race-to-develop-a-coronavirus-vaccine-51580485967,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
9,Australia scientists to share lab-grown coronavirus to hasten ...,Reuters,"Jan 28, 2020",2020-01-28,"... version of the new coronavirus, the first to be recreated outside of 
China, in a breakthrough that could help quicken the creation of a vaccine.",https://www.reuters.com/article/us-china-health-australia-idUSKBN1ZR2YD,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
