claim,fact-check agency,time,orginated,label,poynter_url
Bill Gates tried to get a patent for N-95 masks.,Newsmeter.in,2020/07/22 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=bill-gates-tried-to-get-a-patent-for-n-95-masks
"A photograph of former United States President Barack Obama, with a caption saying it was taken in a “Chinese laboratory in Wuhan. Barack Obama, Anthony Fauci and Melinda Gates, visit the virus factory probably to check on the progress of Coronavirus research.”",Maldita.es,2020/07/15 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=a-photograph-of-former-united-states-president-barack-obama-with-a-caption-saying-it-was-taken-in-a-chinese-laboratory-in-wuhan-barack-obama-anthony-fauci-and-melinda-gates-visit-the-virus-factor
"Photo shows former President Barack Obama, Dr. Anthony Fauci and Melinda Gates at the “Wuhan lab in 2015.”",FactCheck.org,2020/07/14 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=photo-shows-former-president-barack-obama-dr-anthony-fauci-and-melinda-gates-at-the-wuhan-lab-in-2015
"A photo claims to show Dr. Fauci, Melinda Gates and Barack Obama at the Wuhan Lab in 2015.",PolitiFact,2020/07/14 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=a-photo-claims-to-show-dr-fauci-melinda-gates-and-barack-obama-at-the-wuhan-lab-in-2015
"The cases of COVID-19, the disease caused by the novel coronavirus, is not real and was planned by US billionaire Bill Gates to push the use of vaccines and microchip implants.",Rappler,2020/07/10 ,Philippines,FALSE,https://www.poynter.org/?ifcn_misinformation=the-cases-of-covid-19-the-disease-caused-by-the-novel-coronavirus-is-not-real-and-was-planned-by-us-billionaire-bill-gates-to-push-the-use-of-vaccines-and-microchip-implants
"A picture allegedly showing Barack Obama, Anthony Fauci and Melinda Gates visiting a Wuhan laboratory, in 2015.",Facta,2020/07/09 ,Italy,MISLEADING,https://www.poynter.org/?ifcn_misinformation=a-picture-allegedly-showing-barack-obama-anthony-fauci-and-melinda-gates-visiting-a-wuhan-laboratory-in-2015
"Trump made vaccines voluntary, cancelled the Democrats H.R. 6666 bill and Bill Gates backed project ID2020 (among other claims).",FactCheck Georgia,2020/07/09 ,"Georgia, United States",Misleading,https://www.poynter.org/?ifcn_misinformation=trump-made-vaccines-voluntary-cancelled-the-democrats-h-r-6666-bill-and-bill-gates-backed-project-id2020-among-other-claims
"According to Leonard Caldwell, coronavirus is a fraud, and medical masks are harmful to health. He says that Bill Gates ownes the patent for coronavirus, that coronavirus has always lived in the human organism. Caldwell claims that there is a plan to get rid of cash, that the microchips will be injected together with the COVID-19 vaccine.",VoxCheck,2020/07/07 ,"Ukraine, Germany",FALSE,https://www.poynter.org/?ifcn_misinformation=according-to-leonard-caldwell-coronavirus-is-a-fraud-and-medical-masks-are-harmful-to-health-he-says-that-bill-gates-ownes-the-patent-for-coronavirus-that-coronavirus-has-always-lived-in-the-human
An article claiming that “Bill Gates’ vaccine” would modify human DNA.,Facta,2020/07/06 ,Italy,FALSE,https://www.poynter.org/?ifcn_misinformation=an-article-claiming-that-bill-gates-vaccine-would-modify-human-dna
"COVID-19 is a plot introduced by the Gates, Soros, and the Rothschilds families. Their criminal intentions to destroy the healthcare system is hidden into the UN’s Sustainable Development Goals.",VoxCheck,2020/06/30 ,Ukraine,No evidence,https://www.poynter.org/?ifcn_misinformation=covid-19-is-a-plot-introduced-by-the-gates-soros-and-the-rothschilds-families-their-criminal-intentions-to-destroy-the-healthcare-system-is-hidden-into-the-uns-sustainable-development-goals
A WhatsApp message that the European Union wants to relax vaccination regulations so that the COVID-19 vaccine is available more quickly since “Gates and his accomplices seem to be in a rush to administer it” although “it probably equates to a genocide”.,Maldita.es,2020/06/30 ,Spain,MISLEADING,https://www.poynter.org/?ifcn_misinformation=a-whatsapp-message-that-the-european-union-wants-to-relax-vaccination-regulations-so-that-the-covid-19-vaccine-is-available-more-quickly-since-gates-and-his-accomplices-seem-to-be-in-a-rush-to-admini
On the building of the Bill and Melinda Gates Foundation is the inscription “center for the global reduction of the human population”.,Colombiacheck,2020/06/26 ,Colombia,FALSE,https://www.poynter.org/?ifcn_misinformation=on-the-building-of-the-bill-and-melinda-gates-foundation-is-the-inscription-center-for-the-global-reduction-of-the-human-population
"According to Bill Gates, the COVID-19 RNA vaccine will permanently alter our DNA. RNA vaccines can also cause autoimmunity.",Science Feedback,2020/06/25 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=according-to-bill-gates-the-covid-19-rna-vaccine-will-permanently-alter-our-dna-rna-vaccines-can-also-cause-autoimmunity-2
Bill Gates said that the COVID-19 vaccine will permanently change your DNA.,Newtral.es,2020/06/23 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=bill-gates-said-that-the-covid-19-vaccine-will-permanently-change-your-dna
"Bill Gates has said that the COVID-19 vaccine could kill 700,000 people.",EFE Verifica,2020/06/23 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=bill-gates-has-said-that-the-covid-19-vaccine-could-kill-700000-people
